#ies_format_version: 1.0
#file: 20250801_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250801;	155233;	1754043753.000;	       err32;	 err32
20250801;	155236;	1754043756.000;	       err32;	 err32
20250801;	155239;	1754043759.000;	       err32;	 err32
20250801;	155242;	1754043762.000;	       err32;	 err32
20250801;	155245;	1754043765.000;	       err32;	 err32
20250801;	155248;	1754043768.000;	       err32;	 err32
20250801;	155251;	1754043771.000;	       err32;	 err32
20250801;	155254;	1754043774.000;	       err32;	 err32
20250801;	155257;	1754043777.000;	       err32;	 err32
20250801;	155300;	1754043780.000;	       err32;	 err32
20250801;	155303;	1754043783.000;	       err32;	 err32
20250801;	155306;	1754043786.000;	       err32;	 err32
20250801;	155309;	1754043789.000;	       err32;	 err32
20250801;	155312;	1754043792.000;	       err32;	 err32
20250801;	155315;	1754043795.000;	       err32;	 err32
20250801;	155318;	1754043798.000;	       err32;	 err32
20250801;	155321;	1754043801.000;	       err32;	 err32
20250801;	155324;	1754043804.000;	       err32;	 err32
20250801;	155327;	1754043807.000;	       err32;	 err32
20250801;	155330;	1754043810.000;	       err32;	 err32
20250801;	155333;	1754043813.000;	       err32;	 err32
20250801;	155336;	1754043816.000;	       err32;	 err32
20250801;	155339;	1754043819.000;	       err32;	 err32
20250801;	155342;	1754043822.000;	       err32;	 err32
20250801;	155345;	1754043825.000;	       err32;	 err32
20250801;	155348;	1754043828.000;	       err32;	 err32
20250801;	155351;	1754043831.000;	       err32;	 err32
20250801;	155354;	1754043834.000;	       err32;	 err32
20250801;	155357;	1754043837.000;	       err32;	 err32
20250801;	155400;	1754043840.000;	       err32;	 err32
20250801;	155403;	1754043843.000;	       err32;	 err32
20250801;	155406;	1754043846.000;	       err32;	 err32
20250801;	155409;	1754043849.000;	       err32;	 err32
20250801;	155412;	1754043852.000;	       err32;	 err32
20250801;	155415;	1754043855.000;	       err32;	 err32
20250801;	155418;	1754043858.000;	       err32;	 err32
20250801;	155421;	1754043861.000;	       err32;	 err32
20250801;	155424;	1754043864.000;	       err32;	 err32
20250801;	155427;	1754043867.000;	       err32;	 err32
20250801;	155430;	1754043870.000;	       err32;	 err32
20250801;	155433;	1754043873.000;	       err32;	 err32
20250801;	155436;	1754043876.000;	       err32;	 err32
20250801;	155439;	1754043879.000;	       err32;	 err32
20250801;	155442;	1754043882.000;	       err32;	 err32
20250801;	155445;	1754043885.000;	       err32;	 err32
20250801;	155448;	1754043888.000;	       err32;	 err32
20250801;	155451;	1754043891.000;	       err32;	 err32
20250801;	155454;	1754043894.000;	       err32;	 err32
20250801;	155457;	1754043897.000;	       err32;	 err32
20250801;	155500;	1754043900.000;	       err32;	 err32
20250801;	155503;	1754043903.000;	       err32;	 err32
20250801;	155506;	1754043906.000;	       err32;	 err32
20250801;	155509;	1754043909.000;	       err32;	 err32
20250801;	155512;	1754043912.000;	       err32;	 err32
20250801;	155515;	1754043915.000;	       err32;	 err32
20250801;	155518;	1754043918.000;	       err32;	 err32
20250801;	155521;	1754043921.000;	       err32;	 err32
20250801;	155524;	1754043924.000;	       err32;	 err32
20250801;	155527;	1754043927.000;	       err32;	 err32
20250801;	155530;	1754043930.000;	       err32;	 err32
