#ies_format_version: 1.0
#file: 20250718_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250718;	110117;	1752816677.000;	    err32
20250718;	110122;	1752816682.000;	    err32
20250718;	110127;	1752816687.000;	    err32
20250718;	110132;	1752816692.000;	    err32
20250718;	110137;	1752816697.000;	    err32
20250718;	110142;	1752816702.000;	    err32
20250718;	110147;	1752816707.000;	    err32
20250718;	110152;	1752816712.000;	    err32
20250718;	110157;	1752816717.000;	    err32
20250718;	110202;	1752816722.000;	    err32
20250718;	110207;	1752816727.000;	    err32
20250718;	110212;	1752816732.000;	    err32
20250718;	110217;	1752816737.000;	    err32
20250718;	110222;	1752816742.000;	    err32
20250718;	110227;	1752816747.000;	    err32
20250718;	110232;	1752816752.000;	    err32
20250718;	110237;	1752816757.000;	    err32
20250718;	110242;	1752816762.000;	    err32
20250718;	110247;	1752816767.000;	    err32
20250718;	110252;	1752816772.000;	    err32
20250718;	110257;	1752816777.000;	    err32
20250718;	110302;	1752816782.000;	    err32
20250718;	110307;	1752816787.000;	    err32
20250718;	110312;	1752816792.000;	    err32
20250718;	110317;	1752816797.000;	    err32
20250718;	110322;	1752816802.000;	    err32
20250718;	110327;	1752816807.000;	    err32
20250718;	110332;	1752816812.000;	    err32
20250718;	110337;	1752816817.000;	    err32
20250718;	110342;	1752816822.000;	    err32
20250718;	110347;	1752816827.000;	    err32
20250718;	110352;	1752816832.000;	    err32
20250718;	110357;	1752816837.000;	    err32
20250718;	110402;	1752816842.000;	    err32
20250718;	110407;	1752816847.000;	    err32
