#ies_format_version: 1.0
#file: 20250801_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device_A_31
20250801;	162739;	1754045859.000;	           9
20250801;	162740;	1754045860.000;	           9
20250801;	162741;	1754045861.000;	           9
20250801;	162742;	1754045862.000;	           9
20250801;	162743;	1754045863.000;	           9
20250801;	162744;	1754045864.000;	           9
20250801;	162745;	1754045865.000;	           9
20250801;	162746;	1754045866.000;	           9
20250801;	162747;	1754045867.000;	           9
20250801;	162748;	1754045868.000;	           9
20250801;	162749;	1754045869.000;	           9
20250801;	162750;	1754045870.000;	           9
20250801;	162751;	1754045871.000;	           9
20250801;	162752;	1754045872.000;	           9
20250801;	162753;	1754045873.000;	           9
20250801;	162754;	1754045874.000;	           9
20250801;	162755;	1754045875.000;	           9
20250801;	162756;	1754045876.000;	           9
20250801;	162757;	1754045877.000;	           9
20250801;	162758;	1754045878.000;	           9
20250801;	162759;	1754045879.000;	           9
20250801;	162800;	1754045880.000;	           9
20250801;	162801;	1754045881.000;	           9
20250801;	162802;	1754045882.000;	           9
20250801;	162803;	1754045883.000;	           9
20250801;	162804;	1754045884.000;	           9
20250801;	162805;	1754045885.000;	           9
20250801;	162806;	1754045886.000;	           9
20250801;	162807;	1754045887.000;	           9
20250801;	162808;	1754045888.000;	           9
20250801;	162809;	1754045889.000;	           9
20250801;	162810;	1754045890.000;	           9
20250801;	162811;	1754045891.000;	           9
20250801;	162812;	1754045892.000;	           9
20250801;	162813;	1754045893.000;	           9
20250801;	162814;	1754045894.000;	           9
20250801;	162815;	1754045895.000;	           9
20250801;	162816;	1754045896.000;	           9
20250801;	162817;	1754045897.000;	           9
20250801;	162818;	1754045898.000;	           9
20250801;	162819;	1754045899.000;	           9
20250801;	162820;	1754045900.000;	           9
20250801;	162821;	1754045901.000;	           9
20250801;	162822;	1754045902.000;	           9
20250801;	162823;	1754045903.000;	           9
20250801;	162824;	1754045904.000;	           9
20250801;	162825;	1754045905.000;	           9
20250801;	162826;	1754045906.000;	           9
20250801;	162827;	1754045907.000;	           9
20250801;	162828;	1754045908.000;	           9
20250801;	162829;	1754045909.000;	           9
20250801;	162830;	1754045910.000;	           9
20250801;	162831;	1754045911.000;	           9
20250801;	162832;	1754045912.000;	           9
20250801;	162833;	1754045913.000;	           9
20250801;	162834;	1754045914.000;	           9
20250801;	162835;	1754045915.000;	           9
20250801;	162836;	1754045916.000;	           9
20250801;	162837;	1754045917.000;	           9
20250801;	162838;	1754045918.000;	           9
20250801;	162839;	1754045919.000;	           9
20250801;	162840;	1754045920.000;	           9
20250801;	162841;	1754045921.000;	           9
20250801;	162842;	1754045922.000;	           9
20250801;	162843;	1754045923.000;	           9
20250801;	162844;	1754045924.000;	           9
20250801;	162845;	1754045925.000;	           9
20250801;	162846;	1754045926.000;	           9
20250801;	162847;	1754045927.000;	           9
20250801;	162848;	1754045928.000;	           9
20250801;	162849;	1754045929.000;	           9
20250801;	162850;	1754045930.000;	           9
20250801;	162851;	1754045931.000;	           9
20250801;	162852;	1754045932.000;	           9
20250801;	162853;	1754045933.000;	           9
20250801;	162854;	1754045934.000;	           9
20250801;	162855;	1754045935.000;	           9
20250801;	162856;	1754045936.000;	           9
20250801;	162857;	1754045937.000;	           9
20250801;	162858;	1754045938.000;	           9
20250801;	162859;	1754045939.000;	           9
20250801;	162900;	1754045940.000;	           9
20250801;	162901;	1754045941.000;	           9
20250801;	162902;	1754045942.000;	           9
20250801;	162903;	1754045943.000;	           9
20250801;	162904;	1754045944.000;	           9
20250801;	162905;	1754045945.000;	           9
20250801;	162906;	1754045946.000;	           9
20250801;	162907;	1754045947.000;	           9
20250801;	162908;	1754045948.000;	           9
20250801;	162909;	1754045949.000;	           9
20250801;	162910;	1754045950.000;	           9
