#ies_format_version: 1.0
#file: 20250717_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250717;	112942;	1752731982.000;	    err32
20250717;	112947;	1752731987.000;	    err32
20250717;	112952;	1752731992.000;	    err32
20250717;	112957;	1752731997.000;	    err32
20250717;	113002;	1752732002.000;	    err32
20250717;	113007;	1752732007.000;	    err32
20250717;	113012;	1752732012.000;	    err32
20250717;	113017;	1752732017.000;	    err32
20250717;	113022;	1752732022.000;	    err32
20250717;	113027;	1752732027.000;	    err32
20250717;	113032;	1752732032.000;	    err32
20250717;	113037;	1752732037.000;	    err32
20250717;	113042;	1752732042.000;	    err32
20250717;	113047;	1752732047.000;	    err32
20250717;	113052;	1752732052.000;	    err32
20250717;	113057;	1752732057.000;	    err32
20250717;	113102;	1752732062.000;	    err32
20250717;	113107;	1752732067.000;	    err32
20250717;	113112;	1752732072.000;	    err32
20250717;	113117;	1752732077.000;	    err32
20250717;	113122;	1752732082.000;	    err32
20250717;	113127;	1752732087.000;	    err32
20250717;	113132;	1752732092.000;	    err32
20250717;	113137;	1752732097.000;	    err32
20250717;	113142;	1752732102.000;	    err32
20250717;	113147;	1752732107.000;	    err32
20250717;	113152;	1752732112.000;	    err32
20250717;	113157;	1752732117.000;	    err32
20250717;	113202;	1752732122.000;	    err32
20250717;	113207;	1752732127.000;	    err32
20250717;	113212;	1752732132.000;	    err32
20250717;	113217;	1752732137.000;	    err32
20250717;	113222;	1752732142.000;	    err32
20250717;	113227;	1752732147.000;	    err32
20250717;	113232;	1752732152.000;	    err32
20250717;	113237;	1752732157.000;	    err32
20250717;	113242;	1752732162.000;	    err32
20250717;	113247;	1752732167.000;	    err32
20250717;	113252;	1752732172.000;	    err32
20250717;	113257;	1752732177.000;	    err32
20250717;	113302;	1752732182.000;	    err32
20250717;	113307;	1752732187.000;	    err32
20250717;	113312;	1752732192.000;	    err32
20250717;	113317;	1752732197.000;	    err32
20250717;	113322;	1752732202.000;	    err32
20250717;	113327;	1752732207.000;	    err32
20250717;	113332;	1752732212.000;	    err32
20250717;	113337;	1752732217.000;	    err32
20250717;	113342;	1752732222.000;	    err32
20250717;	113347;	1752732227.000;	    err32
20250717;	113352;	1752732232.000;	    err32
20250717;	113357;	1752732237.000;	    err32
20250717;	113402;	1752732242.000;	    err32
20250717;	113407;	1752732247.000;	    err32
20250717;	113412;	1752732252.000;	    err32
20250717;	113417;	1752732257.000;	    err32
20250717;	113422;	1752732262.000;	    err32
20250717;	113427;	1752732267.000;	    err32
20250717;	113432;	1752732272.000;	    err32
20250717;	113437;	1752732277.000;	    err32
20250717;	113442;	1752732282.000;	    err32
20250717;	113447;	1752732287.000;	    err32
20250717;	113452;	1752732292.000;	    err32
20250717;	113457;	1752732297.000;	    err32
20250717;	113502;	1752732302.000;	    err32
20250717;	113507;	1752732307.000;	    err32
20250717;	113512;	1752732312.000;	    err32
20250717;	113517;	1752732317.000;	    err32
20250717;	113522;	1752732322.000;	    err32
20250717;	113527;	1752732327.000;	    err32
20250717;	113532;	1752732332.000;	    err32
20250717;	113537;	1752732337.000;	    err32
20250717;	113542;	1752732342.000;	    err32
20250717;	113547;	1752732347.000;	    err32
20250717;	113552;	1752732352.000;	    err32
20250717;	113557;	1752732357.000;	    err32
20250717;	113602;	1752732362.000;	    err32
20250717;	113607;	1752732367.000;	    err32
20250717;	113612;	1752732372.000;	    err32
20250717;	113617;	1752732377.000;	    err32
20250717;	113622;	1752732382.000;	    err32
20250717;	113627;	1752732387.000;	    err32
20250717;	113632;	1752732392.000;	    err32
20250717;	113637;	1752732397.000;	    err32
20250717;	113642;	1752732402.000;	    err32
20250717;	113647;	1752732407.000;	    err32
20250717;	113652;	1752732412.000;	    err32
20250717;	113657;	1752732417.000;	    err32
20250717;	113702;	1752732422.000;	    err32
20250717;	113707;	1752732427.000;	    err32
20250717;	113712;	1752732432.000;	    err32
20250717;	113717;	1752732437.000;	    err32
20250717;	113722;	1752732442.000;	    err32
20250717;	113727;	1752732447.000;	    err32
20250717;	113732;	1752732452.000;	    err32
20250717;	113737;	1752732457.000;	    err32
20250717;	113742;	1752732462.000;	    err32
20250717;	113747;	1752732467.000;	    err32
20250717;	113752;	1752732472.000;	    err32
20250717;	113757;	1752732477.000;	    err32
20250717;	113802;	1752732482.000;	    err32
20250717;	113807;	1752732487.000;	    err32
20250717;	113812;	1752732492.000;	    err32
20250717;	113817;	1752732497.000;	    err32
20250717;	113822;	1752732502.000;	    err32
20250717;	113827;	1752732507.000;	    err32
20250717;	113832;	1752732512.000;	    err32
20250717;	113837;	1752732517.000;	    err32
20250717;	113842;	1752732522.000;	    err32
20250717;	113847;	1752732527.000;	    err32
20250717;	113852;	1752732532.000;	    err32
20250717;	113857;	1752732537.000;	    err32
20250717;	113902;	1752732542.000;	    err32
20250717;	113907;	1752732547.000;	    err32
20250717;	113912;	1752732552.000;	    err32
20250717;	113917;	1752732557.000;	    err32
20250717;	113922;	1752732562.000;	    err32
20250717;	113927;	1752732567.000;	    err32
20250717;	113932;	1752732572.000;	    err32
20250717;	113937;	1752732577.000;	    err32
20250717;	113942;	1752732582.000;	    err32
20250717;	113947;	1752732587.000;	    err32
20250717;	113952;	1752732592.000;	    err32
20250717;	113957;	1752732597.000;	    err32
20250717;	114002;	1752732602.000;	    err32
20250717;	114007;	1752732607.000;	    err32
20250717;	114012;	1752732612.000;	    err32
20250717;	114017;	1752732617.000;	    err32
20250717;	114022;	1752732622.000;	    err32
20250717;	114027;	1752732627.000;	    err32
20250717;	114032;	1752732632.000;	    err32
20250717;	114037;	1752732637.000;	    err32
20250717;	114042;	1752732642.000;	    err32
20250717;	114047;	1752732647.000;	    err32
20250717;	114052;	1752732652.000;	    err32
20250717;	114057;	1752732657.000;	    err32
20250717;	114102;	1752732662.000;	    err32
20250717;	114107;	1752732667.000;	    err32
20250717;	114112;	1752732672.000;	    err32
20250717;	114117;	1752732677.000;	    err32
20250717;	114122;	1752732682.000;	    err32
20250717;	114127;	1752732687.000;	    err32
20250717;	114132;	1752732692.000;	    err32
20250717;	114137;	1752732697.000;	    err32
20250717;	114142;	1752732702.000;	    err32
20250717;	114147;	1752732707.000;	    err32
20250717;	114152;	1752732712.000;	    err32
20250717;	114157;	1752732717.000;	    err32
20250717;	114202;	1752732722.000;	    err32
20250717;	114207;	1752732727.000;	    err32
20250717;	114212;	1752732732.000;	    err32
20250717;	114217;	1752732737.000;	    err32
20250717;	114222;	1752732742.000;	    err32
20250717;	114227;	1752732747.000;	    err32
20250717;	114232;	1752732752.000;	    err32
20250717;	114237;	1752732757.000;	    err32
20250717;	114242;	1752732762.000;	    err32
20250717;	114247;	1752732767.000;	    err32
20250717;	114252;	1752732772.000;	    err32
20250717;	114257;	1752732777.000;	    err32
20250717;	114302;	1752732782.000;	    err32
20250717;	114307;	1752732787.000;	    err32
20250717;	114312;	1752732792.000;	    err32
20250717;	114317;	1752732797.000;	    err32
20250717;	114322;	1752732802.000;	    err32
20250717;	114327;	1752732807.000;	    err32
20250717;	114332;	1752732812.000;	    err32
20250717;	114337;	1752732817.000;	    err32
20250717;	114342;	1752732822.000;	    err32
20250717;	114347;	1752732827.000;	    err32
20250717;	114352;	1752732832.000;	    err32
20250717;	114357;	1752732837.000;	    err32
20250717;	114402;	1752732842.000;	    err32
20250717;	114407;	1752732847.000;	    err32
20250717;	114412;	1752732852.000;	    err32
20250717;	114417;	1752732857.000;	    err32
20250717;	114422;	1752732862.000;	    err32
20250717;	114427;	1752732867.000;	    err32
20250717;	114432;	1752732872.000;	    err32
20250717;	114437;	1752732877.000;	    err32
20250717;	114442;	1752732882.000;	    err32
20250717;	114447;	1752732887.000;	    err32
20250717;	114452;	1752732892.000;	    err32
20250717;	114457;	1752732897.000;	    err32
20250717;	114502;	1752732902.000;	    err32
20250717;	114507;	1752732907.000;	    err32
20250717;	114512;	1752732912.000;	    err32
20250717;	114517;	1752732917.000;	    err32
20250717;	114522;	1752732922.000;	    err32
20250717;	114527;	1752732927.000;	    err32
20250717;	114532;	1752732932.000;	    err32
20250717;	114537;	1752732937.000;	    err32
20250717;	114542;	1752732942.000;	    err32
20250717;	114547;	1752732947.000;	    err32
20250717;	114552;	1752732952.000;	    err32
20250717;	114557;	1752732957.000;	    err32
20250717;	114602;	1752732962.000;	    err32
20250717;	114607;	1752732967.000;	    err32
20250717;	114612;	1752732972.000;	    err32
20250717;	114617;	1752732977.000;	    err32
20250717;	114622;	1752732982.000;	    err32
20250717;	114627;	1752732987.000;	    err32
20250717;	114632;	1752732992.000;	    err32
20250717;	114637;	1752732997.000;	    err32
20250717;	114642;	1752733002.000;	    err32
20250717;	114647;	1752733007.000;	    err32
20250717;	114652;	1752733012.000;	    err32
20250717;	114657;	1752733017.000;	    err32
20250717;	114702;	1752733022.000;	    err32
20250717;	114707;	1752733027.000;	    err32
20250717;	114712;	1752733032.000;	    err32
20250717;	114717;	1752733037.000;	    err32
20250717;	114722;	1752733042.000;	    err32
20250717;	114727;	1752733047.000;	    err32
20250717;	114732;	1752733052.000;	    err32
20250717;	114737;	1752733057.000;	    err32
20250717;	114742;	1752733062.000;	    err32
20250717;	114747;	1752733067.000;	    err32
20250717;	114752;	1752733072.000;	    err32
20250717;	114757;	1752733077.000;	    err32
20250717;	114802;	1752733082.000;	    err32
20250717;	114807;	1752733087.000;	    err32
20250717;	114812;	1752733092.000;	    err32
20250717;	114817;	1752733097.000;	    err32
20250717;	114822;	1752733102.000;	    err32
20250717;	114827;	1752733107.000;	    err32
20250717;	114832;	1752733112.000;	    err32
20250717;	114837;	1752733117.000;	    err32
20250717;	114842;	1752733122.000;	    err32
20250717;	114847;	1752733127.000;	    err32
20250717;	114852;	1752733132.000;	    err32
20250717;	114857;	1752733137.000;	    err32
20250717;	114902;	1752733142.000;	    err32
20250717;	114907;	1752733147.000;	    err32
20250717;	114912;	1752733152.000;	    err32
20250717;	114917;	1752733157.000;	    err32
20250717;	114922;	1752733162.000;	    err32
20250717;	114927;	1752733167.000;	    err32
20250717;	114932;	1752733172.000;	    err32
20250717;	114937;	1752733177.000;	    err32
20250717;	114942;	1752733182.000;	    err32
20250717;	114947;	1752733187.000;	    err32
20250717;	114952;	1752733192.000;	    err32
20250717;	114957;	1752733197.000;	    err32
20250717;	115002;	1752733202.000;	    err32
20250717;	115007;	1752733207.000;	    err32
20250717;	115012;	1752733212.000;	    err32
20250717;	115017;	1752733217.000;	    err32
20250717;	115022;	1752733222.000;	    err32
20250717;	115027;	1752733227.000;	    err32
20250717;	115032;	1752733232.000;	    err32
20250717;	115037;	1752733237.000;	    err32
20250717;	115042;	1752733242.000;	    err32
20250717;	115047;	1752733247.000;	    err32
20250717;	115052;	1752733252.000;	    err32
20250717;	115057;	1752733257.000;	    err32
20250717;	115102;	1752733262.000;	    err32
20250717;	115107;	1752733267.000;	    err32
20250717;	115112;	1752733272.000;	    err32
20250717;	115117;	1752733277.000;	    err32
20250717;	115122;	1752733282.000;	    err32
20250717;	115127;	1752733287.000;	    err32
20250717;	115132;	1752733292.000;	    err32
20250717;	115137;	1752733297.000;	    err32
20250717;	115142;	1752733302.000;	    err32
20250717;	115147;	1752733307.000;	    err32
20250717;	115152;	1752733312.000;	    err32
20250717;	115157;	1752733317.000;	    err32
20250717;	115202;	1752733322.000;	    err32
20250717;	115207;	1752733327.000;	    err32
20250717;	115212;	1752733332.000;	    err32
20250717;	115217;	1752733337.000;	    err32
20250717;	115222;	1752733342.000;	    err32
20250717;	115227;	1752733347.000;	    err32
20250717;	115232;	1752733352.000;	    err32
20250717;	115237;	1752733357.000;	    err32
20250717;	115242;	1752733362.000;	    err32
20250717;	115247;	1752733367.000;	    err32
20250717;	115252;	1752733372.000;	    err32
20250717;	115257;	1752733377.000;	    err32
20250717;	115302;	1752733382.000;	    err32
20250717;	115307;	1752733387.000;	    err32
20250717;	115312;	1752733392.000;	    err32
20250717;	115317;	1752733397.000;	    err32
20250717;	115322;	1752733402.000;	    err32
20250717;	115327;	1752733407.000;	    err32
20250717;	115332;	1752733412.000;	    err32
20250717;	115337;	1752733417.000;	    err32
20250717;	115342;	1752733422.000;	    err32
20250717;	115347;	1752733427.000;	    err32
20250717;	115352;	1752733432.000;	    err32
20250717;	115357;	1752733437.000;	    err32
20250717;	115402;	1752733442.000;	    err32
20250717;	115407;	1752733447.000;	    err32
20250717;	115412;	1752733452.000;	    err32
20250717;	115417;	1752733457.000;	    err32
20250717;	115422;	1752733462.000;	    err32
20250717;	115427;	1752733467.000;	    err32
20250717;	115432;	1752733472.000;	    err32
20250717;	115437;	1752733477.000;	    err32
20250717;	115442;	1752733482.000;	    err32
20250717;	115447;	1752733487.000;	    err32
20250717;	115452;	1752733492.000;	    err32
20250717;	115457;	1752733497.000;	    err32
20250717;	115502;	1752733502.000;	    err32
20250717;	115507;	1752733507.000;	    err32
20250717;	115512;	1752733512.000;	    err32
20250717;	115517;	1752733517.000;	    err32
20250717;	115522;	1752733522.000;	    err32
20250717;	115527;	1752733527.000;	    err32
20250717;	115532;	1752733532.000;	    err32
20250717;	115537;	1752733537.000;	    err32
20250717;	115542;	1752733542.000;	    err32
20250717;	115547;	1752733547.000;	    err32
20250717;	115552;	1752733552.000;	    err32
20250717;	115557;	1752733557.000;	    err32
20250717;	115602;	1752733562.000;	    err32
20250717;	115607;	1752733567.000;	    err32
20250717;	115612;	1752733572.000;	    err32
20250717;	115617;	1752733577.000;	    err32
20250717;	115622;	1752733582.000;	    err32
20250717;	115627;	1752733587.000;	    err32
20250717;	115632;	1752733592.000;	    err32
20250717;	115637;	1752733597.000;	    err32
20250717;	115642;	1752733602.000;	    err32
20250717;	115647;	1752733607.000;	    err32
20250717;	115652;	1752733612.000;	    err32
20250717;	115657;	1752733617.000;	    err32
20250717;	115702;	1752733622.000;	    err32
20250717;	115707;	1752733627.000;	    err32
20250717;	115712;	1752733632.000;	    err32
20250717;	115717;	1752733637.000;	    err32
20250717;	115722;	1752733642.000;	    err32
20250717;	115727;	1752733647.000;	    err32
20250717;	115732;	1752733652.000;	    err32
20250717;	115737;	1752733657.000;	    err32
20250717;	115742;	1752733662.000;	    err32
20250717;	115747;	1752733667.000;	    err32
20250717;	115752;	1752733672.000;	    err32
20250717;	115757;	1752733677.000;	    err32
20250717;	115802;	1752733682.000;	    err32
20250717;	115807;	1752733687.000;	    err32
20250717;	115812;	1752733692.000;	    err32
20250717;	115817;	1752733697.000;	    err32
20250717;	115822;	1752733702.000;	    err32
20250717;	115827;	1752733707.000;	    err32
20250717;	115832;	1752733712.000;	    err32
20250717;	115837;	1752733717.000;	    err32
20250717;	115842;	1752733722.000;	    err32
20250717;	115847;	1752733727.000;	    err32
20250717;	115852;	1752733732.000;	    err32
20250717;	115857;	1752733737.000;	    err32
20250717;	115902;	1752733742.000;	    err32
20250717;	115907;	1752733747.000;	    err32
20250717;	115912;	1752733752.000;	    err32
20250717;	115917;	1752733757.000;	    err32
20250717;	115922;	1752733762.000;	    err32
20250717;	115927;	1752733767.000;	    err32
20250717;	115932;	1752733772.000;	    err32
20250717;	115937;	1752733777.000;	    err32
20250717;	115942;	1752733782.000;	    err32
20250717;	115947;	1752733787.000;	    err32
20250717;	115952;	1752733792.000;	    err32
20250717;	115957;	1752733797.000;	    err32
20250717;	120002;	1752733802.000;	    err32
20250717;	120007;	1752733807.000;	    err32
20250717;	120012;	1752733812.000;	    err32
20250717;	120017;	1752733817.000;	    err32
20250717;	120022;	1752733822.000;	    err32
20250717;	120027;	1752733827.000;	    err32
20250717;	120032;	1752733832.000;	    err32
20250717;	120037;	1752733837.000;	    err32
20250717;	120042;	1752733842.000;	    err32
20250717;	120047;	1752733847.000;	    err32
20250717;	120052;	1752733852.000;	    err32
20250717;	120057;	1752733857.000;	    err32
20250717;	120102;	1752733862.000;	    err32
20250717;	120107;	1752733867.000;	    err32
20250717;	120112;	1752733872.000;	    err32
20250717;	120117;	1752733877.000;	    err32
20250717;	120122;	1752733882.000;	    err32
20250717;	120127;	1752733887.000;	    err32
20250717;	120132;	1752733892.000;	    err32
20250717;	120137;	1752733897.000;	    err32
20250717;	120142;	1752733902.000;	    err32
20250717;	120147;	1752733907.000;	    err32
20250717;	120152;	1752733912.000;	    err32
20250717;	120157;	1752733917.000;	    err32
20250717;	120202;	1752733922.000;	    err32
20250717;	120207;	1752733927.000;	    err32
20250717;	120212;	1752733932.000;	    err32
20250717;	120217;	1752733937.000;	    err32
20250717;	120222;	1752733942.000;	    err32
20250717;	120227;	1752733947.000;	    err32
20250717;	120232;	1752733952.000;	    err32
20250717;	120237;	1752733957.000;	    err32
20250717;	120242;	1752733962.000;	    err32
20250717;	120247;	1752733967.000;	    err32
20250717;	120252;	1752733972.000;	    err32
20250717;	120257;	1752733977.000;	    err32
20250717;	120302;	1752733982.000;	    err32
20250717;	120307;	1752733987.000;	    err32
20250717;	120312;	1752733992.000;	    err32
20250717;	120317;	1752733997.000;	    err32
20250717;	120322;	1752734002.000;	    err32
20250717;	120327;	1752734007.000;	    err32
20250717;	120332;	1752734012.000;	    err32
20250717;	120337;	1752734017.000;	    err32
20250717;	120342;	1752734022.000;	    err32
20250717;	120347;	1752734027.000;	    err32
20250717;	120352;	1752734032.000;	    err32
20250717;	120357;	1752734037.000;	    err32
20250717;	120402;	1752734042.000;	    err32
20250717;	120407;	1752734047.000;	    err32
20250717;	120412;	1752734052.000;	    err32
20250717;	120417;	1752734057.000;	    err32
20250717;	120422;	1752734062.000;	    err32
20250717;	120427;	1752734067.000;	    err32
20250717;	120432;	1752734072.000;	    err32
20250717;	120437;	1752734077.000;	    err32
20250717;	120442;	1752734082.000;	    err32
20250717;	120447;	1752734087.000;	    err32
20250717;	120452;	1752734092.000;	    err32
20250717;	120457;	1752734097.000;	    err32
20250717;	120502;	1752734102.000;	    err32
20250717;	120507;	1752734107.000;	    err32
20250717;	120512;	1752734112.000;	    err32
20250717;	120517;	1752734117.000;	    err32
20250717;	120522;	1752734122.000;	    err32
20250717;	120527;	1752734127.000;	    err32
20250717;	120532;	1752734132.000;	    err32
20250717;	120537;	1752734137.000;	    err32
20250717;	120542;	1752734142.000;	    err32
20250717;	120547;	1752734147.000;	    err32
20250717;	120552;	1752734152.000;	    err32
20250717;	120557;	1752734157.000;	    err32
20250717;	120602;	1752734162.000;	    err32
20250717;	120607;	1752734167.000;	    err32
20250717;	120612;	1752734172.000;	    err32
20250717;	120617;	1752734177.000;	    err32
20250717;	120622;	1752734182.000;	    err32
20250717;	120627;	1752734187.000;	    err32
20250717;	120632;	1752734192.000;	    err32
20250717;	120637;	1752734197.000;	    err32
20250717;	120642;	1752734202.000;	    err32
20250717;	120647;	1752734207.000;	    err32
20250717;	120652;	1752734212.000;	    err32
20250717;	120657;	1752734217.000;	    err32
20250717;	120702;	1752734222.000;	    err32
20250717;	120707;	1752734227.000;	    err32
20250717;	120712;	1752734232.000;	    err32
20250717;	120717;	1752734237.000;	    err32
20250717;	120722;	1752734242.000;	    err32
20250717;	120727;	1752734247.000;	    err32
20250717;	120732;	1752734252.000;	    err32
20250717;	120737;	1752734257.000;	    err32
20250717;	120742;	1752734262.000;	    err32
20250717;	120747;	1752734267.000;	    err32
20250717;	120752;	1752734272.000;	    err32
20250717;	120757;	1752734277.000;	    err32
20250717;	120802;	1752734282.000;	    err32
20250717;	120807;	1752734287.000;	    err32
20250717;	120812;	1752734292.000;	    err32
20250717;	120817;	1752734297.000;	    err32
20250717;	120822;	1752734302.000;	    err32
20250717;	120827;	1752734307.000;	    err32
20250717;	120832;	1752734312.000;	    err32
20250717;	120837;	1752734317.000;	    err32
20250717;	120842;	1752734322.000;	    err32
20250717;	120847;	1752734327.000;	    err32
20250717;	120852;	1752734332.000;	    err32
20250717;	120857;	1752734337.000;	    err32
20250717;	120902;	1752734342.000;	    err32
20250717;	120907;	1752734347.000;	    err32
20250717;	120912;	1752734352.000;	    err32
20250717;	120917;	1752734357.000;	    err32
20250717;	120922;	1752734362.000;	    err32
20250717;	120927;	1752734367.000;	    err32
20250717;	120932;	1752734372.000;	    err32
20250717;	120937;	1752734377.000;	    err32
20250717;	120942;	1752734382.000;	    err32
20250717;	120947;	1752734387.000;	    err32
20250717;	120952;	1752734392.000;	    err32
20250717;	120957;	1752734397.000;	    err32
20250717;	121002;	1752734402.000;	    err32
20250717;	121007;	1752734407.000;	    err32
20250717;	121012;	1752734412.000;	    err32
20250717;	121017;	1752734417.000;	    err32
20250717;	121022;	1752734422.000;	    err32
20250717;	121027;	1752734427.000;	    err32
20250717;	121032;	1752734432.000;	    err32
20250717;	121037;	1752734437.000;	    err32
20250717;	121042;	1752734442.000;	    err32
20250717;	121047;	1752734447.000;	    err32
20250717;	121052;	1752734452.000;	    err32
20250717;	121057;	1752734457.000;	    err32
20250717;	121102;	1752734462.000;	    err32
20250717;	121107;	1752734467.000;	    err32
20250717;	121112;	1752734472.000;	    err32
20250717;	121117;	1752734477.000;	    err32
20250717;	121122;	1752734482.000;	    err32
20250717;	121127;	1752734487.000;	    err32
20250717;	121132;	1752734492.000;	    err32
20250717;	121137;	1752734497.000;	    err32
20250717;	121142;	1752734502.000;	    err32
20250717;	121147;	1752734507.000;	    err32
20250717;	121152;	1752734512.000;	    err32
20250717;	121157;	1752734517.000;	    err32
20250717;	121202;	1752734522.000;	    err32
20250717;	121207;	1752734527.000;	    err32
20250717;	121212;	1752734532.000;	    err32
20250717;	121217;	1752734537.000;	    err32
20250717;	121222;	1752734542.000;	    err32
20250717;	121227;	1752734547.000;	    err32
20250717;	121232;	1752734552.000;	    err32
20250717;	121237;	1752734557.000;	    err32
20250717;	121242;	1752734562.000;	    err32
20250717;	121247;	1752734567.000;	    err32
20250717;	121252;	1752734572.000;	    err32
20250717;	121257;	1752734577.000;	    err32
20250717;	121302;	1752734582.000;	    err32
20250717;	121307;	1752734587.000;	    err32
20250717;	121312;	1752734592.000;	    err32
20250717;	121317;	1752734597.000;	    err32
20250717;	121322;	1752734602.000;	    err32
20250717;	121327;	1752734607.000;	    err32
20250717;	121332;	1752734612.000;	    err32
20250717;	121337;	1752734617.000;	    err32
20250717;	121342;	1752734622.000;	    err32
20250717;	121347;	1752734627.000;	    err32
20250717;	121352;	1752734632.000;	    err32
20250717;	121357;	1752734637.000;	    err32
20250717;	121402;	1752734642.000;	    err32
20250717;	121407;	1752734647.000;	    err32
20250717;	121412;	1752734652.000;	    err32
20250717;	121417;	1752734657.000;	    err32
20250717;	121422;	1752734662.000;	    err32
20250717;	121427;	1752734667.000;	    err32
20250717;	121432;	1752734672.000;	    err32
20250717;	121437;	1752734677.000;	    err32
20250717;	121442;	1752734682.000;	    err32
20250717;	121447;	1752734687.000;	    err32
20250717;	121452;	1752734692.000;	    err32
20250717;	121457;	1752734697.000;	    err32
20250717;	121502;	1752734702.000;	    err32
20250717;	121507;	1752734707.000;	    err32
20250717;	121512;	1752734712.000;	    err32
20250717;	121517;	1752734717.000;	    err32
20250717;	121522;	1752734722.000;	    err32
20250717;	121527;	1752734727.000;	    err32
20250717;	121532;	1752734732.000;	    err32
20250717;	121537;	1752734737.000;	    err32
20250717;	121542;	1752734742.000;	    err32
20250717;	121547;	1752734747.000;	    err32
20250717;	121552;	1752734752.000;	    err32
20250717;	121557;	1752734757.000;	    err32
20250717;	121602;	1752734762.000;	    err32
20250717;	121607;	1752734767.000;	    err32
20250717;	121612;	1752734772.000;	    err32
20250717;	121617;	1752734777.000;	    err32
20250717;	121622;	1752734782.000;	    err32
20250717;	121627;	1752734787.000;	    err32
20250717;	121632;	1752734792.000;	    err32
20250717;	121637;	1752734797.000;	    err32
20250717;	121642;	1752734802.000;	    err32
20250717;	121647;	1752734807.000;	    err32
20250717;	121652;	1752734812.000;	    err32
20250717;	121657;	1752734817.000;	    err32
20250717;	121702;	1752734822.000;	    err32
20250717;	121707;	1752734827.000;	    err32
20250717;	121712;	1752734832.000;	    err32
20250717;	121717;	1752734837.000;	    err32
20250717;	121722;	1752734842.000;	    err32
20250717;	121727;	1752734847.000;	    err32
20250717;	121732;	1752734852.000;	    err32
20250717;	121737;	1752734857.000;	    err32
20250717;	121742;	1752734862.000;	    err32
20250717;	121747;	1752734867.000;	    err32
20250717;	121752;	1752734872.000;	    err32
20250717;	121757;	1752734877.000;	    err32
20250717;	121802;	1752734882.000;	    err32
20250717;	121807;	1752734887.000;	    err32
20250717;	121812;	1752734892.000;	    err32
20250717;	121817;	1752734897.000;	    err32
20250717;	121822;	1752734902.000;	    err32
20250717;	121827;	1752734907.000;	    err32
20250717;	121832;	1752734912.000;	    err32
20250717;	121837;	1752734917.000;	    err32
20250717;	121842;	1752734922.000;	    err32
20250717;	121847;	1752734927.000;	    err32
20250717;	121852;	1752734932.000;	    err32
20250717;	121857;	1752734937.000;	    err32
20250717;	121902;	1752734942.000;	    err32
20250717;	121907;	1752734947.000;	    err32
20250717;	121912;	1752734952.000;	    err32
20250717;	121917;	1752734957.000;	    err32
20250717;	121922;	1752734962.000;	    err32
20250717;	121927;	1752734967.000;	    err32
20250717;	121932;	1752734972.000;	    err32
20250717;	121937;	1752734977.000;	    err32
20250717;	121942;	1752734982.000;	    err32
