#ies_format_version: 1.0
#file: 20250721_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	mdevice1_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	mdevice1_A_18
20250721;	130033;	1753083033.000;	       err11
20250721;	130034;	1753083034.000;	       err11
20250721;	130035;	1753083035.000;	       err11
20250721;	130036;	1753083036.000;	       err11
20250721;	130037;	1753083037.000;	       err11
20250721;	130038;	1753083038.000;	       err11
20250721;	130039;	1753083039.000;	       err11
20250721;	130040;	1753083040.000;	       err11
20250721;	130041;	1753083041.000;	       err11
20250721;	130042;	1753083042.000;	       err11
20250721;	130043;	1753083043.000;	       err11
20250721;	130044;	1753083044.000;	       err11
20250721;	130045;	1753083045.000;	       err11
20250721;	130046;	1753083046.000;	       err11
20250721;	130047;	1753083047.000;	       err11
20250721;	130048;	1753083048.000;	       err11
20250721;	130049;	1753083049.000;	       err11
20250721;	130050;	1753083050.000;	       err11
20250721;	130051;	1753083051.000;	       err11
20250721;	130052;	1753083052.000;	       err11
20250721;	130053;	1753083053.000;	       err11
20250721;	130054;	1753083054.000;	       err11
20250721;	130055;	1753083055.000;	       err11
20250721;	130056;	1753083056.000;	       err11
20250721;	130057;	1753083057.000;	       err11
20250721;	130058;	1753083058.000;	       err11
20250721;	130059;	1753083059.000;	       err11
20250721;	130100;	1753083060.000;	       err11
20250721;	130101;	1753083061.000;	       err11
20250721;	130102;	1753083062.000;	       err11
20250721;	130103;	1753083063.000;	       err11
20250721;	130104;	1753083064.000;	       err11
20250721;	130105;	1753083065.000;	       err11
20250721;	130106;	1753083066.000;	       err11
20250721;	130107;	1753083067.000;	       err11
20250721;	130108;	1753083068.000;	       err11
20250721;	130109;	1753083069.000;	       err11
20250721;	130110;	1753083070.000;	       err11
20250721;	130111;	1753083071.000;	       err11
20250721;	130112;	1753083072.000;	       err11
20250721;	130113;	1753083073.000;	       err11
20250721;	130114;	1753083074.000;	       err11
20250721;	130115;	1753083075.000;	       err11
20250721;	130116;	1753083076.000;	       err11
20250721;	130117;	1753083077.000;	       err11
20250721;	130118;	1753083078.000;	       err11
20250721;	130119;	1753083079.000;	       err11
20250721;	130120;	1753083080.000;	       err11
20250721;	130121;	1753083081.000;	       err11
20250721;	130122;	1753083082.000;	       err11
20250721;	130123;	1753083083.000;	       err11
20250721;	130124;	1753083084.000;	       err11
20250721;	130125;	1753083085.000;	       err11
20250721;	130126;	1753083086.000;	       err11
20250721;	130127;	1753083087.000;	       err11
20250721;	130128;	1753083088.000;	       err11
20250721;	130129;	1753083089.000;	       err11
20250721;	130130;	1753083090.000;	       err11
20250721;	130131;	1753083091.000;	       err11
20250721;	130132;	1753083092.000;	       err11
20250721;	130133;	1753083093.000;	       err11
20250721;	130134;	1753083094.000;	       err11
20250721;	130135;	1753083095.000;	       err11
20250721;	130136;	1753083096.000;	       err11
20250721;	130137;	1753083097.000;	       err11
20250721;	130138;	1753083098.000;	       err11
20250721;	130139;	1753083099.000;	       err11
20250721;	130140;	1753083100.000;	       err11
20250721;	130141;	1753083101.000;	       err11
20250721;	130142;	1753083102.000;	       err11
20250721;	130143;	1753083103.000;	       err11
20250721;	130144;	1753083104.000;	       err11
20250721;	130145;	1753083105.000;	       err11
20250721;	130146;	1753083106.000;	       err11
20250721;	130147;	1753083107.000;	       err11
20250721;	130148;	1753083108.000;	       err11
20250721;	130149;	1753083109.000;	       err11
20250721;	130150;	1753083110.000;	       err11
20250721;	130151;	1753083111.000;	       err11
20250721;	130152;	1753083112.000;	       err11
20250721;	130153;	1753083113.000;	       err11
20250721;	130154;	1753083114.000;	       err11
20250721;	130155;	1753083115.000;	       err11
20250721;	130156;	1753083116.000;	       err11
20250721;	130157;	1753083117.000;	       err11
20250721;	130158;	1753083118.000;	       err11
20250721;	130159;	1753083119.000;	       err11
20250721;	130200;	1753083120.000;	       err11
20250721;	130201;	1753083121.000;	       err11
20250721;	130202;	1753083122.000;	       err11
20250721;	130203;	1753083123.000;	       err11
20250721;	130204;	1753083124.000;	       err11
20250721;	130205;	1753083125.000;	       err11
20250721;	130206;	1753083126.000;	       err11
20250721;	130207;	1753083127.000;	       err11
20250721;	130208;	1753083128.000;	       err11
20250721;	130209;	1753083129.000;	       err11
20250721;	130210;	1753083130.000;	       err11
20250721;	130211;	1753083131.000;	       err11
20250721;	130212;	1753083132.000;	       err11
20250721;	130213;	1753083133.000;	       err11
20250721;	130214;	1753083134.000;	       err11
20250721;	130215;	1753083135.000;	       err11
20250721;	130216;	1753083136.000;	       err11
20250721;	130217;	1753083137.000;	       err11
20250721;	130218;	1753083138.000;	       err11
20250721;	130219;	1753083139.000;	       err11
20250721;	130220;	1753083140.000;	       err11
20250721;	130221;	1753083141.000;	       err11
20250721;	130222;	1753083142.000;	       err11
20250721;	130223;	1753083143.000;	       err11
20250721;	130224;	1753083144.000;	       err11
20250721;	130225;	1753083145.000;	       err11
20250721;	130226;	1753083146.000;	       err11
20250721;	130227;	1753083147.000;	       err11
20250721;	130228;	1753083148.000;	       err11
20250721;	130229;	1753083149.000;	       err11
20250721;	130230;	1753083150.000;	       err11
20250721;	130231;	1753083151.000;	       err11
20250721;	130232;	1753083152.000;	       err11
20250721;	130233;	1753083153.000;	       err11
20250721;	130234;	1753083154.000;	       err11
20250721;	130235;	1753083155.000;	       err11
20250721;	130236;	1753083156.000;	       err11
20250721;	130237;	1753083157.000;	       err11
20250721;	130238;	1753083158.000;	       err11
20250721;	130239;	1753083159.000;	       err11
20250721;	130240;	1753083160.000;	       err11
20250721;	130241;	1753083161.000;	       err11
20250721;	130242;	1753083162.000;	       err11
20250721;	130243;	1753083163.000;	       err11
20250721;	130244;	1753083164.000;	       err11
20250721;	130245;	1753083165.000;	       err11
20250721;	130246;	1753083166.000;	       err11
20250721;	130247;	1753083167.000;	       err11
20250721;	130248;	1753083168.000;	       err11
20250721;	130249;	1753083169.000;	       err11
20250721;	130250;	1753083170.000;	       err11
20250721;	130251;	1753083171.000;	       err11
20250721;	130252;	1753083172.000;	       err11
20250721;	130253;	1753083173.000;	       err11
20250721;	130254;	1753083174.000;	       err11
20250721;	130255;	1753083175.000;	       err11
20250721;	130256;	1753083176.000;	       err11
20250721;	130257;	1753083177.000;	       err11
20250721;	130258;	1753083178.000;	       err11
20250721;	130259;	1753083179.000;	       err11
20250721;	130300;	1753083180.000;	       err11
20250721;	130301;	1753083181.000;	       err11
20250721;	130302;	1753083182.000;	       err11
20250721;	130303;	1753083183.000;	       err11
20250721;	130304;	1753083184.000;	       err11
20250721;	130305;	1753083185.000;	       err11
20250721;	130306;	1753083186.000;	       err11
20250721;	130307;	1753083187.000;	       err11
20250721;	130308;	1753083188.000;	       err11
20250721;	130309;	1753083189.000;	       err11
20250721;	130310;	1753083190.000;	       err11
20250721;	130311;	1753083191.000;	       err11
20250721;	130312;	1753083192.000;	       err11
20250721;	130313;	1753083193.000;	       err11
20250721;	130314;	1753083194.000;	       err11
20250721;	130315;	1753083195.000;	       err11
20250721;	130316;	1753083196.000;	       err11
20250721;	130317;	1753083197.000;	       err11
20250721;	130318;	1753083198.000;	       err11
20250721;	130319;	1753083199.000;	       err11
20250721;	130320;	1753083200.000;	       err11
20250721;	130321;	1753083201.000;	       err11
20250721;	130322;	1753083202.000;	       err11
20250721;	130323;	1753083203.000;	       err11
20250721;	130324;	1753083204.000;	       err11
20250721;	130325;	1753083205.000;	       err11
20250721;	130326;	1753083206.000;	       err11
20250721;	130327;	1753083207.000;	       err11
20250721;	130328;	1753083208.000;	       err11
20250721;	130329;	1753083209.000;	       err11
20250721;	130330;	1753083210.000;	       err11
20250721;	130331;	1753083211.000;	       err11
20250721;	130332;	1753083212.000;	       err11
20250721;	130333;	1753083213.000;	       err11
20250721;	130334;	1753083214.000;	       err11
20250721;	130335;	1753083215.000;	       err11
20250721;	130336;	1753083216.000;	       err11
20250721;	130337;	1753083217.000;	       err11
20250721;	130338;	1753083218.000;	       err11
20250721;	130339;	1753083219.000;	       err11
20250721;	130340;	1753083220.000;	       err11
20250721;	130341;	1753083221.000;	       err11
20250721;	130342;	1753083222.000;	       err11
20250721;	130343;	1753083223.000;	       err11
20250721;	130344;	1753083224.000;	       err11
20250721;	130345;	1753083225.000;	       err11
20250721;	130346;	1753083226.000;	       err11
20250721;	130347;	1753083227.000;	       err11
20250721;	130348;	1753083228.000;	       err11
20250721;	130349;	1753083229.000;	       err11
20250721;	130350;	1753083230.000;	       err11
20250721;	130351;	1753083231.000;	       err11
20250721;	130352;	1753083232.000;	       err11
20250721;	130353;	1753083233.000;	       err11
20250721;	130354;	1753083234.000;	       err11
20250721;	130355;	1753083235.000;	       err11
20250721;	130356;	1753083236.000;	       err11
20250721;	130357;	1753083237.000;	       err11
20250721;	130358;	1753083238.000;	       err11
20250721;	130359;	1753083239.000;	       err11
20250721;	130400;	1753083240.000;	       err11
20250721;	130401;	1753083241.000;	       err11
20250721;	130402;	1753083242.000;	       err11
20250721;	130403;	1753083243.000;	       err11
20250721;	130404;	1753083244.000;	       err11
20250721;	130405;	1753083245.000;	       err11
20250721;	130406;	1753083246.000;	       err11
20250721;	130407;	1753083247.000;	       err11
20250721;	130408;	1753083248.000;	       err11
20250721;	130409;	1753083249.000;	       err11
20250721;	130410;	1753083250.000;	       err11
20250721;	130411;	1753083251.000;	       err11
20250721;	130412;	1753083252.000;	       err11
20250721;	130413;	1753083253.000;	       err11
20250721;	130414;	1753083254.000;	       err11
20250721;	130415;	1753083255.000;	       err11
20250721;	130416;	1753083256.000;	       err11
20250721;	130417;	1753083257.000;	       err11
20250721;	130418;	1753083258.000;	       err11
20250721;	130419;	1753083259.000;	       err11
20250721;	130420;	1753083260.000;	       err11
20250721;	130421;	1753083261.000;	       err11
20250721;	130422;	1753083262.000;	       err11
20250721;	130423;	1753083263.000;	       err11
20250721;	130424;	1753083264.000;	       err11
20250721;	130425;	1753083265.000;	       err11
20250721;	130426;	1753083266.000;	       err11
20250721;	130427;	1753083267.000;	       err11
20250721;	130428;	1753083268.000;	       err11
20250721;	130429;	1753083269.000;	       err11
20250721;	130430;	1753083270.000;	       err11
20250721;	130431;	1753083271.000;	       err11
20250721;	130432;	1753083272.000;	       err11
20250721;	130433;	1753083273.000;	       err11
20250721;	130434;	1753083274.000;	       err11
20250721;	130435;	1753083275.000;	       err11
20250721;	130436;	1753083276.000;	       err11
20250721;	130437;	1753083277.000;	       err11
20250721;	130438;	1753083278.000;	       err11
20250721;	130439;	1753083279.000;	       err11
20250721;	130440;	1753083280.000;	       err11
20250721;	130441;	1753083281.000;	       err11
20250721;	130442;	1753083282.000;	       err11
20250721;	130443;	1753083283.000;	       err11
20250721;	130444;	1753083284.000;	       err11
20250721;	130445;	1753083285.000;	       err11
20250721;	130446;	1753083286.000;	       err11
20250721;	130447;	1753083287.000;	       err11
20250721;	130448;	1753083288.000;	       err11
20250721;	130449;	1753083289.000;	       err11
20250721;	130450;	1753083290.000;	       err11
20250721;	130451;	1753083291.000;	       err11
20250721;	130452;	1753083292.000;	       err11
20250721;	130453;	1753083293.000;	       err11
20250721;	130454;	1753083294.000;	       err11
20250721;	130455;	1753083295.000;	       err11
20250721;	130456;	1753083296.000;	       err11
20250721;	130457;	1753083297.000;	       err11
20250721;	130458;	1753083298.000;	       err11
20250721;	130459;	1753083299.000;	       err11
20250721;	130500;	1753083300.000;	       err11
20250721;	130501;	1753083301.000;	       err11
20250721;	130502;	1753083302.000;	       err11
20250721;	130503;	1753083303.000;	       err11
20250721;	130504;	1753083304.000;	       err11
20250721;	130505;	1753083305.000;	       err11
20250721;	130506;	1753083306.000;	       err11
20250721;	130507;	1753083307.000;	       err11
20250721;	130508;	1753083308.000;	       err11
20250721;	130509;	1753083309.000;	       err11
20250721;	130510;	1753083310.000;	       err11
20250721;	130511;	1753083311.000;	       err11
20250721;	130512;	1753083312.000;	       err11
20250721;	130513;	1753083313.000;	       err11
20250721;	130514;	1753083314.000;	       err11
20250721;	130515;	1753083315.000;	       err11
20250721;	130516;	1753083316.000;	       err11
20250721;	130517;	1753083317.000;	       err11
20250721;	130518;	1753083318.000;	       err11
20250721;	130519;	1753083319.000;	       err11
20250721;	130520;	1753083320.000;	       err11
20250721;	130521;	1753083321.000;	       err11
20250721;	130522;	1753083322.000;	       err11
20250721;	130523;	1753083323.000;	       err11
20250721;	130524;	1753083324.000;	       err11
20250721;	130525;	1753083325.000;	       err11
20250721;	130526;	1753083326.000;	       err11
20250721;	130527;	1753083327.000;	       err11
20250721;	130528;	1753083328.000;	       err11
20250721;	130529;	1753083329.000;	       err11
20250721;	130530;	1753083330.000;	       err11
20250721;	130531;	1753083331.000;	       err11
20250721;	130532;	1753083332.000;	       err11
20250721;	130533;	1753083333.000;	       err11
20250721;	130534;	1753083334.000;	       err11
20250721;	130535;	1753083335.000;	       err11
20250721;	130536;	1753083336.000;	       err11
20250721;	130537;	1753083337.000;	       err11
20250721;	130538;	1753083338.000;	       err11
20250721;	130539;	1753083339.000;	       err11
20250721;	130540;	1753083340.000;	       err11
20250721;	130541;	1753083341.000;	       err11
20250721;	130542;	1753083342.000;	       err11
20250721;	130543;	1753083343.000;	       err11
20250721;	130544;	1753083344.000;	       err11
20250721;	130545;	1753083345.000;	       err11
20250721;	130546;	1753083346.000;	       err11
20250721;	130547;	1753083347.000;	       err11
20250721;	130548;	1753083348.000;	       err11
20250721;	130549;	1753083349.000;	       err11
20250721;	130550;	1753083350.000;	       err11
20250721;	130551;	1753083351.000;	       err11
20250721;	130552;	1753083352.000;	       err11
20250721;	130553;	1753083353.000;	       err11
20250721;	130554;	1753083354.000;	       err11
20250721;	130555;	1753083355.000;	       err11
20250721;	130556;	1753083356.000;	       err11
20250721;	130557;	1753083357.000;	       err11
20250721;	130558;	1753083358.000;	       err11
20250721;	130559;	1753083359.000;	       err11
20250721;	130600;	1753083360.000;	       err11
20250721;	130601;	1753083361.000;	       err11
20250721;	130602;	1753083362.000;	       err11
20250721;	130603;	1753083363.000;	       err11
20250721;	130604;	1753083364.000;	       err11
20250721;	130605;	1753083365.000;	       err11
20250721;	130606;	1753083366.000;	       err11
20250721;	130607;	1753083367.000;	       err11
20250721;	130608;	1753083368.000;	       err11
20250721;	130609;	1753083369.000;	       err11
20250721;	130610;	1753083370.000;	       err11
20250721;	130611;	1753083371.000;	       err11
20250721;	130612;	1753083372.000;	       err11
20250721;	130613;	1753083373.000;	       err11
20250721;	130614;	1753083374.000;	       err11
20250721;	130615;	1753083375.000;	       err11
20250721;	130616;	1753083376.000;	       err11
20250721;	130617;	1753083377.000;	       err11
20250721;	130618;	1753083378.000;	       err11
20250721;	130619;	1753083379.000;	       err11
20250721;	130620;	1753083380.000;	       err11
20250721;	130621;	1753083381.000;	       err11
20250721;	130622;	1753083382.000;	       err11
20250721;	130623;	1753083383.000;	       err11
20250721;	130624;	1753083384.000;	       err11
20250721;	130625;	1753083385.000;	       err11
20250721;	130626;	1753083386.000;	       err11
20250721;	130627;	1753083387.000;	       err11
20250721;	130628;	1753083388.000;	       err11
20250721;	130629;	1753083389.000;	       err11
20250721;	130630;	1753083390.000;	       err11
20250721;	130631;	1753083391.000;	       err11
20250721;	130632;	1753083392.000;	       err11
20250721;	130633;	1753083393.000;	       err11
20250721;	130634;	1753083394.000;	       err11
20250721;	130635;	1753083395.000;	       err11
20250721;	130636;	1753083396.000;	       err11
20250721;	130637;	1753083397.000;	       err11
20250721;	130638;	1753083398.000;	       err11
20250721;	130639;	1753083399.000;	       err11
20250721;	130640;	1753083400.000;	       err11
20250721;	130641;	1753083401.000;	       err11
20250721;	130642;	1753083402.000;	       err11
20250721;	130643;	1753083403.000;	       err11
20250721;	130644;	1753083404.000;	       err11
20250721;	130645;	1753083405.000;	       err11
20250721;	130646;	1753083406.000;	       err11
20250721;	130647;	1753083407.000;	       err11
20250721;	130648;	1753083408.000;	       err11
20250721;	130649;	1753083409.000;	       err11
20250721;	130650;	1753083410.000;	       err11
20250721;	130651;	1753083411.000;	       err11
20250721;	130652;	1753083412.000;	       err11
20250721;	130653;	1753083413.000;	       err11
20250721;	130654;	1753083414.000;	       err11
20250721;	130655;	1753083415.000;	       err11
20250721;	130656;	1753083416.000;	       err11
20250721;	130657;	1753083417.000;	       err11
20250721;	130658;	1753083418.000;	       err11
20250721;	130659;	1753083419.000;	       err11
20250721;	130700;	1753083420.000;	       err11
20250721;	130701;	1753083421.000;	       err11
20250721;	130702;	1753083422.000;	       err11
20250721;	130703;	1753083423.000;	       err11
20250721;	130704;	1753083424.000;	       err11
20250721;	130705;	1753083425.000;	       err11
20250721;	130706;	1753083426.000;	       err11
20250721;	130707;	1753083427.000;	       err11
20250721;	130708;	1753083428.000;	       err11
20250721;	130709;	1753083429.000;	       err11
20250721;	130710;	1753083430.000;	       err11
20250721;	130711;	1753083431.000;	       err11
20250721;	130712;	1753083432.000;	       err11
20250721;	130713;	1753083433.000;	       err11
20250721;	130714;	1753083434.000;	       err11
20250721;	130715;	1753083435.000;	       err11
20250721;	130716;	1753083436.000;	       err11
20250721;	130717;	1753083437.000;	       err11
20250721;	130718;	1753083438.000;	       err11
20250721;	130719;	1753083439.000;	       err11
20250721;	130720;	1753083440.000;	       err11
20250721;	130721;	1753083441.000;	       err11
20250721;	130722;	1753083442.000;	       err11
20250721;	130723;	1753083443.000;	       err11
20250721;	130724;	1753083444.000;	       err11
20250721;	130725;	1753083445.000;	       err11
20250721;	130726;	1753083446.000;	       err11
20250721;	130727;	1753083447.000;	       err11
20250721;	130728;	1753083448.000;	       err11
20250721;	130729;	1753083449.000;	       err11
20250721;	130730;	1753083450.000;	       err11
20250721;	130731;	1753083451.000;	       err11
20250721;	130732;	1753083452.000;	       err11
20250721;	130733;	1753083453.000;	       err11
20250721;	130734;	1753083454.000;	       err11
20250721;	130735;	1753083455.000;	       err11
20250721;	130736;	1753083456.000;	       err11
20250721;	130737;	1753083457.000;	       err11
20250721;	130738;	1753083458.000;	       err11
20250721;	130739;	1753083459.000;	       err11
20250721;	130740;	1753083460.000;	       err11
20250721;	130741;	1753083461.000;	       err11
20250721;	130742;	1753083462.000;	       err11
20250721;	130743;	1753083463.000;	       err11
20250721;	130744;	1753083464.000;	       err11
20250721;	130745;	1753083465.000;	       err11
20250721;	130746;	1753083466.000;	       err11
20250721;	130747;	1753083467.000;	       err11
20250721;	130748;	1753083468.000;	       err11
20250721;	130749;	1753083469.000;	       err11
20250721;	130750;	1753083470.000;	       err11
20250721;	130751;	1753083471.000;	       err11
20250721;	130752;	1753083472.000;	       err11
20250721;	130753;	1753083473.000;	       err11
20250721;	130754;	1753083474.000;	       err11
20250721;	130755;	1753083475.000;	       err11
20250721;	130756;	1753083476.000;	       err11
20250721;	130757;	1753083477.000;	       err11
20250721;	130758;	1753083478.000;	       err11
20250721;	130759;	1753083479.000;	       err11
20250721;	130800;	1753083480.000;	       err11
20250721;	130801;	1753083481.000;	       err11
20250721;	130802;	1753083482.000;	       err11
20250721;	130803;	1753083483.000;	       err11
20250721;	130804;	1753083484.000;	       err11
20250721;	130805;	1753083485.000;	       err11
20250721;	130806;	1753083486.000;	       err11
20250721;	130807;	1753083487.000;	       err11
20250721;	130808;	1753083488.000;	       err11
20250721;	130809;	1753083489.000;	       err11
20250721;	130810;	1753083490.000;	       err11
20250721;	130811;	1753083491.000;	       err11
20250721;	130812;	1753083492.000;	       err11
20250721;	130813;	1753083493.000;	       err11
20250721;	130814;	1753083494.000;	       err11
20250721;	130815;	1753083495.000;	       err11
20250721;	130816;	1753083496.000;	       err11
20250721;	130817;	1753083497.000;	       err11
20250721;	130818;	1753083498.000;	       err11
20250721;	130819;	1753083499.000;	       err11
20250721;	130820;	1753083500.000;	       err11
20250721;	130821;	1753083501.000;	       err11
20250721;	130822;	1753083502.000;	       err11
20250721;	130823;	1753083503.000;	       err11
20250721;	130824;	1753083504.000;	       err11
20250721;	130825;	1753083505.000;	       err11
20250721;	130826;	1753083506.000;	       err11
20250721;	130827;	1753083507.000;	       err11
20250721;	130828;	1753083508.000;	       err11
20250721;	130829;	1753083509.000;	       err11
20250721;	130830;	1753083510.000;	       err11
20250721;	130831;	1753083511.000;	       err11
20250721;	130832;	1753083512.000;	       err11
20250721;	130833;	1753083513.000;	       err11
20250721;	130834;	1753083514.000;	       err11
20250721;	130835;	1753083515.000;	       err11
20250721;	130836;	1753083516.000;	       err11
20250721;	130837;	1753083517.000;	       err11
20250721;	130838;	1753083518.000;	       err11
20250721;	130839;	1753083519.000;	       err11
20250721;	130840;	1753083520.000;	       err11
20250721;	130841;	1753083521.000;	       err11
20250721;	130842;	1753083522.000;	       err11
20250721;	130843;	1753083523.000;	       err11
20250721;	130844;	1753083524.000;	       err11
20250721;	130845;	1753083525.000;	       err11
20250721;	130846;	1753083526.000;	       err11
20250721;	130847;	1753083527.000;	       err11
20250721;	130848;	1753083528.000;	       err11
20250721;	130849;	1753083529.000;	       err11
20250721;	130850;	1753083530.000;	       err11
20250721;	130851;	1753083531.000;	       err11
20250721;	130852;	1753083532.000;	       err11
20250721;	130853;	1753083533.000;	       err11
20250721;	130854;	1753083534.000;	       err11
20250721;	130855;	1753083535.000;	       err11
20250721;	130856;	1753083536.000;	       err11
20250721;	130857;	1753083537.000;	       err11
20250721;	130858;	1753083538.000;	       err11
20250721;	130859;	1753083539.000;	       err11
20250721;	130900;	1753083540.000;	       err11
20250721;	130901;	1753083541.000;	       err11
20250721;	130902;	1753083542.000;	       err11
20250721;	130903;	1753083543.000;	       err11
20250721;	130904;	1753083544.000;	       err11
20250721;	130905;	1753083545.000;	       err11
20250721;	130906;	1753083546.000;	       err11
20250721;	130907;	1753083547.000;	       err11
20250721;	130908;	1753083548.000;	       err11
20250721;	130909;	1753083549.000;	       err11
20250721;	130910;	1753083550.000;	       err11
20250721;	130911;	1753083551.000;	       err11
20250721;	130912;	1753083552.000;	       err11
20250721;	130913;	1753083553.000;	       err11
20250721;	130914;	1753083554.000;	       err11
20250721;	130915;	1753083555.000;	       err11
20250721;	130916;	1753083556.000;	       err11
20250721;	130917;	1753083557.000;	       err11
20250721;	130918;	1753083558.000;	       err11
20250721;	130919;	1753083559.000;	       err11
20250721;	130920;	1753083560.000;	       err11
20250721;	130921;	1753083561.000;	       err11
20250721;	130922;	1753083562.000;	       err11
20250721;	130923;	1753083563.000;	       err11
20250721;	130924;	1753083564.000;	       err11
20250721;	130925;	1753083565.000;	       err11
20250721;	130926;	1753083566.000;	       err11
20250721;	130927;	1753083567.000;	       err11
20250721;	130928;	1753083568.000;	       err11
20250721;	130929;	1753083569.000;	       err11
20250721;	130930;	1753083570.000;	       err11
20250721;	130931;	1753083571.000;	       err11
20250721;	130932;	1753083572.000;	       err11
20250721;	130933;	1753083573.000;	       err11
20250721;	130934;	1753083574.000;	       err11
20250721;	130935;	1753083575.000;	       err11
20250721;	130936;	1753083576.000;	       err11
20250721;	130937;	1753083577.000;	       err11
20250721;	130938;	1753083578.000;	       err11
20250721;	130939;	1753083579.000;	       err11
20250721;	130940;	1753083580.000;	       err11
20250721;	130941;	1753083581.000;	       err11
20250721;	130942;	1753083582.000;	       err11
20250721;	130943;	1753083583.000;	       err11
20250721;	130944;	1753083584.000;	       err11
20250721;	130945;	1753083585.000;	       err11
20250721;	130946;	1753083586.000;	       err11
20250721;	130947;	1753083587.000;	       err11
20250721;	130948;	1753083588.000;	       err11
20250721;	130949;	1753083589.000;	       err11
20250721;	130950;	1753083590.000;	       err11
20250721;	130951;	1753083591.000;	       err11
20250721;	130952;	1753083592.000;	       err11
20250721;	130953;	1753083593.000;	       err11
20250721;	130954;	1753083594.000;	       err11
20250721;	130955;	1753083595.000;	       err11
20250721;	130956;	1753083596.000;	       err11
20250721;	130957;	1753083597.000;	       err11
20250721;	130958;	1753083598.000;	       err11
20250721;	130959;	1753083599.000;	       err11
20250721;	131000;	1753083600.000;	       err11
20250721;	131001;	1753083601.000;	       err11
20250721;	131002;	1753083602.000;	       err11
20250721;	131003;	1753083603.000;	       err11
20250721;	131004;	1753083604.000;	       err11
20250721;	131005;	1753083605.000;	       err11
20250721;	131006;	1753083606.000;	       err11
20250721;	131007;	1753083607.000;	       err11
20250721;	131008;	1753083608.000;	       err11
20250721;	131009;	1753083609.000;	       err11
20250721;	131010;	1753083610.000;	       err11
20250721;	131011;	1753083611.000;	       err11
20250721;	131012;	1753083612.000;	       err11
20250721;	131013;	1753083613.000;	       err11
20250721;	131014;	1753083614.000;	       err11
20250721;	131015;	1753083615.000;	       err11
20250721;	131016;	1753083616.000;	       err11
20250721;	131017;	1753083617.000;	       err11
20250721;	131018;	1753083618.000;	       err11
20250721;	131019;	1753083619.000;	       err11
20250721;	131020;	1753083620.000;	       err11
20250721;	131021;	1753083621.000;	       err11
20250721;	131022;	1753083622.000;	       err11
20250721;	131023;	1753083623.000;	       err11
20250721;	131024;	1753083624.000;	       err11
20250721;	131025;	1753083625.000;	       err11
20250721;	131026;	1753083626.000;	       err11
20250721;	131027;	1753083627.000;	       err11
20250721;	131028;	1753083628.000;	       err11
20250721;	131029;	1753083629.000;	       err11
20250721;	131030;	1753083630.000;	       err11
20250721;	131031;	1753083631.000;	       err11
20250721;	131032;	1753083632.000;	       err11
20250721;	131033;	1753083633.000;	       err11
20250721;	131034;	1753083634.000;	       err11
20250721;	131035;	1753083635.000;	       err11
20250721;	131036;	1753083636.000;	       err11
20250721;	131037;	1753083637.000;	       err11
20250721;	131038;	1753083638.000;	       err11
20250721;	131039;	1753083639.000;	       err11
20250721;	131040;	1753083640.000;	       err11
20250721;	131041;	1753083641.000;	       err11
20250721;	131042;	1753083642.000;	       err11
20250721;	131043;	1753083643.000;	       err11
20250721;	131044;	1753083644.000;	       err11
20250721;	131045;	1753083645.000;	       err11
20250721;	131046;	1753083646.000;	       err11
20250721;	131047;	1753083647.000;	       err11
20250721;	131048;	1753083648.000;	       err11
20250721;	131049;	1753083649.000;	       err11
20250721;	131050;	1753083650.000;	       err11
20250721;	131051;	1753083651.000;	       err11
20250721;	131052;	1753083652.000;	       err11
20250721;	131053;	1753083653.000;	       err11
20250721;	131054;	1753083654.000;	       err11
20250721;	131055;	1753083655.000;	       err11
20250721;	131056;	1753083656.000;	       err11
20250721;	131057;	1753083657.000;	       err11
20250721;	131058;	1753083658.000;	       err11
20250721;	131059;	1753083659.000;	       err11
20250721;	131100;	1753083660.000;	       err11
20250721;	131101;	1753083661.000;	       err11
20250721;	131102;	1753083662.000;	       err11
20250721;	131103;	1753083663.000;	       err11
20250721;	131104;	1753083664.000;	       err11
20250721;	131105;	1753083665.000;	       err11
20250721;	131106;	1753083666.000;	       err11
20250721;	131107;	1753083667.000;	       err11
20250721;	131108;	1753083668.000;	       err11
20250721;	131109;	1753083669.000;	       err11
20250721;	131110;	1753083670.000;	       err11
20250721;	131111;	1753083671.000;	       err11
20250721;	131112;	1753083672.000;	       err11
20250721;	131113;	1753083673.000;	       err11
20250721;	131114;	1753083674.000;	       err11
20250721;	131115;	1753083675.000;	       err11
20250721;	131116;	1753083676.000;	       err11
20250721;	131117;	1753083677.000;	       err11
20250721;	131118;	1753083678.000;	       err11
20250721;	131119;	1753083679.000;	       err11
20250721;	131120;	1753083680.000;	       err11
20250721;	131121;	1753083681.000;	       err11
20250721;	131122;	1753083682.000;	       err11
20250721;	131123;	1753083683.000;	       err11
