#ies_format_version: 1.0
#file: 20250721_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	mdevice1_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	mdevice1_A_18
20250721;	124347;	1753082027.000;	       err11
20250721;	124348;	1753082028.000;	       err11
20250721;	124349;	1753082029.000;	       err11
20250721;	124350;	1753082030.000;	       err11
20250721;	124351;	1753082031.000;	       err11
20250721;	124352;	1753082032.000;	       err11
20250721;	124353;	1753082033.000;	       err11
20250721;	124354;	1753082034.000;	       err11
20250721;	124355;	1753082035.000;	       err11
20250721;	124356;	1753082036.000;	       err11
20250721;	124357;	1753082037.000;	       err11
20250721;	124358;	1753082038.000;	       err11
20250721;	124359;	1753082039.000;	       err11
20250721;	124400;	1753082040.000;	       err11
20250721;	124401;	1753082041.000;	       err11
20250721;	124402;	1753082042.000;	       err11
20250721;	124403;	1753082043.000;	       err11
20250721;	124404;	1753082044.000;	       err11
20250721;	124405;	1753082045.000;	       err11
20250721;	124406;	1753082046.000;	       err11
20250721;	124407;	1753082047.000;	       err11
20250721;	124408;	1753082048.000;	       err11
20250721;	124409;	1753082049.000;	       err11
20250721;	124410;	1753082050.000;	       err11
20250721;	124411;	1753082051.000;	       err11
20250721;	124412;	1753082052.000;	       err11
20250721;	124413;	1753082053.000;	       err11
20250721;	124414;	1753082054.000;	       err11
20250721;	124415;	1753082055.000;	       err11
20250721;	124416;	1753082056.000;	       err11
20250721;	124417;	1753082057.000;	       err11
20250721;	124418;	1753082058.000;	       err11
20250721;	124419;	1753082059.000;	       err11
20250721;	124420;	1753082060.000;	       err11
20250721;	124421;	1753082061.000;	       err11
20250721;	124422;	1753082062.000;	       err11
20250721;	124423;	1753082063.000;	       err11
20250721;	124424;	1753082064.000;	       err11
20250721;	124425;	1753082065.000;	       err11
20250721;	124426;	1753082066.000;	       err11
20250721;	124427;	1753082067.000;	       err11
20250721;	124428;	1753082068.000;	       err11
20250721;	124429;	1753082069.000;	       err11
20250721;	124430;	1753082070.000;	       err11
20250721;	124431;	1753082071.000;	       err11
20250721;	124432;	1753082072.000;	       err11
20250721;	124433;	1753082073.000;	       err11
20250721;	124434;	1753082074.000;	       err11
20250721;	124435;	1753082075.000;	       err11
20250721;	124436;	1753082076.000;	       err11
20250721;	124437;	1753082077.000;	       err11
20250721;	124438;	1753082078.000;	       err11
20250721;	124439;	1753082079.000;	       err11
20250721;	124440;	1753082080.000;	       err11
20250721;	124441;	1753082081.000;	       err11
20250721;	124442;	1753082082.000;	       err11
20250721;	124443;	1753082083.000;	       err11
20250721;	124444;	1753082084.000;	       err11
20250721;	124445;	1753082085.000;	       err11
20250721;	124446;	1753082086.000;	       err11
20250721;	124447;	1753082087.000;	       err11
20250721;	124448;	1753082088.000;	       err11
20250721;	124449;	1753082089.000;	       err11
20250721;	124450;	1753082090.000;	       err11
20250721;	124451;	1753082091.000;	       err11
20250721;	124452;	1753082092.000;	       err11
20250721;	124453;	1753082093.000;	       err11
20250721;	124454;	1753082094.000;	       err11
20250721;	124455;	1753082095.000;	       err11
20250721;	124456;	1753082096.000;	       err11
20250721;	124457;	1753082097.000;	       err11
20250721;	124458;	1753082098.000;	       err11
20250721;	124459;	1753082099.000;	       err11
20250721;	124500;	1753082100.000;	       err11
20250721;	124501;	1753082101.000;	       err11
20250721;	124502;	1753082102.000;	       err11
20250721;	124503;	1753082103.000;	       err11
20250721;	124504;	1753082104.000;	       err11
20250721;	124505;	1753082105.000;	       err11
20250721;	124506;	1753082106.000;	       err11
20250721;	124507;	1753082107.000;	       err11
20250721;	124508;	1753082108.000;	       err11
20250721;	124509;	1753082109.000;	       err11
20250721;	124510;	1753082110.000;	       err11
20250721;	124511;	1753082111.000;	       err11
20250721;	124512;	1753082112.000;	       err11
20250721;	124513;	1753082113.000;	       err11
20250721;	124514;	1753082114.000;	       err11
20250721;	124515;	1753082115.000;	       err11
20250721;	124516;	1753082116.000;	       err11
20250721;	124517;	1753082117.000;	       err11
20250721;	124518;	1753082118.000;	       err11
20250721;	124519;	1753082119.000;	       err11
20250721;	124520;	1753082120.000;	       err11
20250721;	124521;	1753082121.000;	       err11
20250721;	124522;	1753082122.000;	       err11
20250721;	124523;	1753082123.000;	       err11
20250721;	124524;	1753082124.000;	       err11
20250721;	124525;	1753082125.000;	       err11
20250721;	124526;	1753082126.000;	       err11
20250721;	124527;	1753082127.000;	       err11
20250721;	124528;	1753082128.000;	       err11
20250721;	124529;	1753082129.000;	       err11
20250721;	124530;	1753082130.000;	       err11
20250721;	124531;	1753082131.000;	       err11
20250721;	124532;	1753082132.000;	       err11
20250721;	124533;	1753082133.000;	       err11
20250721;	124534;	1753082134.000;	       err11
20250721;	124535;	1753082135.000;	       err11
20250721;	124536;	1753082136.000;	       err11
20250721;	124537;	1753082137.000;	       err11
20250721;	124538;	1753082138.000;	       err11
20250721;	124539;	1753082139.000;	       err11
20250721;	124540;	1753082140.000;	       err11
20250721;	124541;	1753082141.000;	       err11
20250721;	124542;	1753082142.000;	       err11
20250721;	124543;	1753082143.000;	       err11
20250721;	124544;	1753082144.000;	       err11
20250721;	124545;	1753082145.000;	       err11
20250721;	124546;	1753082146.000;	       err11
20250721;	124547;	1753082147.000;	       err11
20250721;	124548;	1753082148.000;	       err11
20250721;	124549;	1753082149.000;	       err11
20250721;	124550;	1753082150.000;	       err11
20250721;	124551;	1753082151.000;	       err11
20250721;	124552;	1753082152.000;	       err11
20250721;	124553;	1753082153.000;	       err11
20250721;	124554;	1753082154.000;	       err11
20250721;	124555;	1753082155.000;	       err11
20250721;	124556;	1753082156.000;	       err11
20250721;	124557;	1753082157.000;	       err11
20250721;	124558;	1753082158.000;	       err11
20250721;	124559;	1753082159.000;	       err11
20250721;	124600;	1753082160.000;	       err11
20250721;	124601;	1753082161.000;	       err11
