#ies_format_version: 1.0
#file: 20250718_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	test_An_2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	test_V_3;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#006;	test_Vln_4;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#007;	test_T_5;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#008;	test2_An_2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#009;	test2_V_3;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#010;	test2_Vln_4;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#011;	test2_T_5;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#012;	test5_A_6;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#013;	test5_B_7;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#014;	test5_C_8;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#015;	test5_D_9;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#016;	test5_E_10;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#017;	test5_F_16;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#018;	test4_A_1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#019;	test4_A_11;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#020;	test4_V_12;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#021;	test4_Vln_13;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#022;	test4_T_14;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
#023;	test4_Tn_15;	FALSE;	TRUE;	0;	other;	DOUBLE,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	test_An_2;	test_V_3;	test_Vln_4;	test_T_5;	test2_An_2;	test2_V_3;	test2_Vln_4;	test2_T_5;	test5_A_6;	test5_B_7;	test5_C_8;	test5_D_9;	test5_E_10;	test5_F_16;	test4_A_1;	test4_A_11;	test4_V_12;	test4_Vln_13;	test4_T_14;	test4_Tn_15
20250718;	131338;	1752824618.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131340;	1752824620.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131342;	1752824622.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131344;	1752824624.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131346;	1752824626.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131348;	1752824628.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131350;	1752824630.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131352;	1752824632.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131354;	1752824634.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131356;	1752824636.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131358;	1752824638.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131400;	1752824640.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131402;	1752824642.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131404;	1752824644.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131406;	1752824646.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131408;	1752824648.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131410;	1752824650.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131412;	1752824652.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131414;	1752824654.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131416;	1752824656.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131418;	1752824658.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131420;	1752824660.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131422;	1752824662.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131424;	1752824664.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131426;	1752824666.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131428;	1752824668.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131430;	1752824670.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131432;	1752824672.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
20250718;	131434;	1752824674.000;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	       err11;	    err11;	       err11;	    err11;	       err11;	 err11;	       err11;	       err11;	    err11;	    err11
