#ies_format_version: 1.0
#file: 20250729_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250729;	193251;	1753797771.000;	     1;	     1
20250729;	193254;	1753797774.000;	     1;	     1
20250729;	193257;	1753797777.000;	     1;	     1
20250729;	193300;	1753797780.000;	     1;	     1
20250729;	193303;	1753797783.000;	     1;	     1
20250729;	193306;	1753797786.000;	     1;	     1
20250729;	193309;	1753797789.000;	     1;	     1
20250729;	193312;	1753797792.000;	     1;	     1
20250729;	193315;	1753797795.000;	     1;	     1
20250729;	193318;	1753797798.000;	     1;	     1
20250729;	193321;	1753797801.000;	     1;	     1
20250729;	193324;	1753797804.000;	     1;	     1
20250729;	193327;	1753797807.000;	     1;	     1
20250729;	193330;	1753797810.000;	     1;	     1
20250729;	193333;	1753797813.000;	     1;	     1
20250729;	193336;	1753797816.000;	     1;	     1
20250729;	193339;	1753797819.000;	     1;	     1
20250729;	193342;	1753797822.000;	     1;	     1
20250729;	193345;	1753797825.000;	     1;	     1
20250729;	193348;	1753797828.000;	     1;	     1
20250729;	193351;	1753797831.000;	     1;	     1
20250729;	193354;	1753797834.000;	     1;	     1
20250729;	193357;	1753797837.000;	     1;	     1
20250729;	193400;	1753797840.000;	     1;	     1
20250729;	193403;	1753797843.000;	     1;	     1
20250729;	193406;	1753797846.000;	     1;	     1
20250729;	193409;	1753797849.000;	     1;	     1
20250729;	193412;	1753797852.000;	     1;	     1
20250729;	193415;	1753797855.000;	     1;	     1
20250729;	193418;	1753797858.000;	     1;	     1
20250729;	193421;	1753797861.000;	     1;	     1
20250729;	193424;	1753797864.000;	     1;	     1
20250729;	193427;	1753797867.000;	     1;	     1
20250729;	193430;	1753797870.000;	     1;	     1
20250729;	193433;	1753797873.000;	     1;	     1
20250729;	193436;	1753797876.000;	     1;	     1
20250729;	193439;	1753797879.000;	     1;	     1
20250729;	193442;	1753797882.000;	     1;	     1
20250729;	193445;	1753797885.000;	     1;	     1
20250729;	193448;	1753797888.000;	     1;	     1
20250729;	193451;	1753797891.000;	     1;	     1
20250729;	193454;	1753797894.000;	     1;	     1
20250729;	193457;	1753797897.000;	     1;	     1
20250729;	193500;	1753797900.000;	     1;	     1
20250729;	193503;	1753797903.000;	     1;	     1
20250729;	193506;	1753797906.000;	     1;	     1
20250729;	193509;	1753797909.000;	     1;	     1
20250729;	193512;	1753797912.000;	     1;	     1
20250729;	193515;	1753797915.000;	     1;	     1
20250729;	193518;	1753797918.000;	     1;	     1
20250729;	193521;	1753797921.000;	     1;	     1
20250729;	193524;	1753797924.000;	     1;	     1
20250729;	193527;	1753797927.000;	     1;	     1
20250729;	193530;	1753797930.000;	     1;	     1
20250729;	193533;	1753797933.000;	     1;	     1
20250729;	193536;	1753797936.000;	     1;	     1
20250729;	193539;	1753797939.000;	     1;	     1
20250729;	193542;	1753797942.000;	     1;	     1
20250729;	193545;	1753797945.000;	     1;	     1
20250729;	193548;	1753797948.000;	     1;	     1
20250729;	193551;	1753797951.000;	     1;	     1
20250729;	193554;	1753797954.000;	     1;	     1
20250729;	193557;	1753797957.000;	     1;	     1
20250729;	193600;	1753797960.000;	     1;	     1
20250729;	193603;	1753797963.000;	     1;	     1
20250729;	193606;	1753797966.000;	     1;	     1
20250729;	193609;	1753797969.000;	     1;	     1
20250729;	193612;	1753797972.000;	     1;	     1
20250729;	193615;	1753797975.000;	     1;	     1
20250729;	193618;	1753797978.000;	     1;	     1
20250729;	193621;	1753797981.000;	     1;	     1
20250729;	193624;	1753797984.000;	     1;	     1
20250729;	193627;	1753797987.000;	     1;	     1
20250729;	193630;	1753797990.000;	     1;	     1
20250729;	193633;	1753797993.000;	     1;	     1
20250729;	193636;	1753797996.000;	     1;	     1
20250729;	193639;	1753797999.000;	     1;	     1
