#ies_format_version: 1.0
#file: 20250721_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18
20250721;	172606;	1753098966.000;	           0
20250721;	172608;	1753098968.000;	           0
20250721;	172610;	1753098970.000;	           0
20250721;	172612;	1753098972.000;	           0
20250721;	172614;	1753098974.000;	           0
20250721;	172616;	1753098976.000;	           0
20250721;	172618;	1753098978.000;	           0
20250721;	172620;	1753098980.000;	           0
20250721;	172622;	1753098982.000;	           0
20250721;	172624;	1753098984.000;	           0
20250721;	172626;	1753098986.000;	           0
20250721;	172628;	1753098988.000;	           0
20250721;	172630;	1753098990.000;	           0
20250721;	172632;	1753098992.000;	           0
20250721;	172634;	1753098994.000;	           0
20250721;	172636;	1753098996.000;	           0
20250721;	172638;	1753098998.000;	           0
20250721;	172640;	1753099000.000;	           0
20250721;	172642;	1753099002.000;	           0
20250721;	172644;	1753099004.000;	           0
20250721;	172646;	1753099006.000;	           0
20250721;	172648;	1753099008.000;	           0
20250721;	172650;	1753099010.000;	           0
20250721;	172652;	1753099012.000;	           0
20250721;	172654;	1753099014.000;	           0
20250721;	172656;	1753099016.000;	        err9
20250721;	172658;	1753099018.000;	        err9
20250721;	172700;	1753099020.000;	        err9
20250721;	172702;	1753099022.000;	        err9
20250721;	172704;	1753099024.000;	        err9
20250721;	172706;	1753099026.000;	        err9
20250721;	172708;	1753099028.000;	        err9
20250721;	172710;	1753099030.000;	        err9
20250721;	172712;	1753099032.000;	        err9
20250721;	172714;	1753099034.000;	        err9
20250721;	172716;	1753099036.000;	        err9
20250721;	172718;	1753099038.000;	        err9
20250721;	172720;	1753099040.000;	        err9
20250721;	172722;	1753099042.000;	        err9
20250721;	172724;	1753099044.000;	        err9
20250721;	172726;	1753099046.000;	        err9
20250721;	172728;	1753099048.000;	        err9
20250721;	172730;	1753099050.000;	        err9
20250721;	172732;	1753099052.000;	        err9
20250721;	172734;	1753099054.000;	        err9
20250721;	172736;	1753099056.000;	        err9
20250721;	172738;	1753099058.000;	        err9
