#ies_format_version: 1.0
#file: 20250724_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	test_B_19;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18;	test_B_19
20250724;	154432;	1753352072.000;	         101;	           0
20250724;	154434;	1753352074.000;	         101;	           0
20250724;	154436;	1753352076.000;	         101;	           0
20250724;	154438;	1753352078.000;	         101;	           0
20250724;	154440;	1753352080.000;	         101;	           0
20250724;	154442;	1753352082.000;	         101;	           0
20250724;	154444;	1753352084.000;	         101;	           0
20250724;	154446;	1753352086.000;	         101;	           0
20250724;	154448;	1753352088.000;	         101;	           0
20250724;	154450;	1753352090.000;	         101;	           0
20250724;	154452;	1753352092.000;	         101;	           0
20250724;	154454;	1753352094.000;	         101;	           0
20250724;	154456;	1753352096.000;	         101;	           0
20250724;	154458;	1753352098.000;	         101;	           0
20250724;	154500;	1753352100.000;	         101;	           0
20250724;	154502;	1753352102.000;	         101;	           0
20250724;	154504;	1753352104.000;	         101;	           0
20250724;	154506;	1753352106.000;	         101;	           0
20250724;	154508;	1753352108.000;	         101;	           0
20250724;	154510;	1753352110.000;	         101;	           0
20250724;	154512;	1753352112.000;	         101;	           0
20250724;	154514;	1753352114.000;	         101;	           0
20250724;	154516;	1753352116.000;	         101;	           0
20250724;	154518;	1753352118.000;	         101;	           0
20250724;	154520;	1753352120.000;	         101;	           0
20250724;	154522;	1753352122.000;	         101;	           0
20250724;	154524;	1753352124.000;	         101;	           0
20250724;	154526;	1753352126.000;	         101;	           0
20250724;	154528;	1753352128.000;	         101;	           0
20250724;	154530;	1753352130.000;	         101;	           0
20250724;	154532;	1753352132.000;	         101;	           0
20250724;	154534;	1753352134.000;	         101;	           0
20250724;	154536;	1753352136.000;	         101;	           0
20250724;	154538;	1753352138.000;	         101;	           0
20250724;	154540;	1753352140.000;	         101;	           0
20250724;	154542;	1753352142.000;	         101;	           0
20250724;	154544;	1753352144.000;	         101;	           0
20250724;	154546;	1753352146.000;	         101;	           0
20250724;	154548;	1753352148.000;	         101;	           0
20250724;	154550;	1753352150.000;	         101;	           0
20250724;	154552;	1753352152.000;	         101;	           0
20250724;	154554;	1753352154.000;	         101;	           0
20250724;	154556;	1753352156.000;	         101;	           0
20250724;	154558;	1753352158.000;	         101;	           0
20250724;	154600;	1753352160.000;	         101;	           0
20250724;	154602;	1753352162.000;	         101;	           0
20250724;	154604;	1753352164.000;	         101;	           0
20250724;	154606;	1753352166.000;	         101;	           0
20250724;	154608;	1753352168.000;	         101;	           0
20250724;	154610;	1753352170.000;	         101;	           0
20250724;	154612;	1753352172.000;	         101;	           0
20250724;	154614;	1753352174.000;	         101;	           0
20250724;	154616;	1753352176.000;	         101;	           0
20250724;	154618;	1753352178.000;	         101;	           0
20250724;	154620;	1753352180.000;	         101;	           0
20250724;	154622;	1753352182.000;	         101;	           0
20250724;	154624;	1753352184.000;	         101;	           0
20250724;	154626;	1753352186.000;	         101;	           0
20250724;	154628;	1753352188.000;	         101;	           0
20250724;	154630;	1753352190.000;	         101;	           0
20250724;	154632;	1753352192.000;	         101;	           0
20250724;	154634;	1753352194.000;	         101;	           0
20250724;	154636;	1753352196.000;	         101;	           0
20250724;	154638;	1753352198.000;	         101;	           0
20250724;	154640;	1753352200.000;	         101;	           0
20250724;	154642;	1753352202.000;	         101;	           0
20250724;	154644;	1753352204.000;	         101;	           0
20250724;	154646;	1753352206.000;	         101;	           0
20250724;	154648;	1753352208.000;	         101;	           0
20250724;	154650;	1753352210.000;	         101;	           0
20250724;	154652;	1753352212.000;	         101;	           0
20250724;	154654;	1753352214.000;	         101;	           0
20250724;	154656;	1753352216.000;	         101;	           0
20250724;	154658;	1753352218.000;	         101;	           0
20250724;	154700;	1753352220.000;	         101;	           0
20250724;	154702;	1753352222.000;	         101;	           0
20250724;	154704;	1753352224.000;	         101;	           0
20250724;	154706;	1753352226.000;	         101;	           0
20250724;	154708;	1753352228.000;	         101;	           0
20250724;	154710;	1753352230.000;	         101;	           0
20250724;	154712;	1753352232.000;	         101;	           0
20250724;	154714;	1753352234.000;	         101;	           0
20250724;	154716;	1753352236.000;	         101;	           0
20250724;	154718;	1753352238.000;	         101;	           0
20250724;	154720;	1753352240.000;	         101;	           0
20250724;	154722;	1753352242.000;	         101;	           0
