#ies_format_version: 1.0
#file: 20250728_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest2_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest2_A_18
20250728;	170306;	1753702386.000;	         777
20250728;	170309;	1753702389.000;	         777
20250728;	170312;	1753702392.000;	         777
20250728;	170315;	1753702395.000;	         777
20250728;	170318;	1753702398.000;	         777
20250728;	170321;	1753702401.000;	         777
20250728;	170324;	1753702404.000;	         777
20250728;	170327;	1753702407.000;	         777
20250728;	170330;	1753702410.000;	         777
20250728;	170333;	1753702413.000;	         777
20250728;	170336;	1753702416.000;	         777
20250728;	170339;	1753702419.000;	         777
20250728;	170342;	1753702422.000;	         777
20250728;	170345;	1753702425.000;	         777
20250728;	170348;	1753702428.000;	         777
20250728;	170351;	1753702431.000;	         777
20250728;	170354;	1753702434.000;	         777
20250728;	170357;	1753702437.000;	         777
20250728;	170400;	1753702440.000;	         777
20250728;	170403;	1753702443.000;	         777
20250728;	170406;	1753702446.000;	         777
20250728;	170409;	1753702449.000;	         777
20250728;	170412;	1753702452.000;	         777
20250728;	170415;	1753702455.000;	         777
20250728;	170418;	1753702458.000;	         777
20250728;	170421;	1753702461.000;	         777
20250728;	170424;	1753702464.000;	         777
20250728;	170427;	1753702467.000;	         777
20250728;	170430;	1753702470.000;	         777
20250728;	170433;	1753702473.000;	         777
20250728;	170436;	1753702476.000;	         777
20250728;	170439;	1753702479.000;	         777
20250728;	170442;	1753702482.000;	         777
20250728;	170445;	1753702485.000;	         777
20250728;	170448;	1753702488.000;	         777
20250728;	170451;	1753702491.000;	         777
20250728;	170454;	1753702494.000;	         777
20250728;	170457;	1753702497.000;	         777
20250728;	170500;	1753702500.000;	         777
20250728;	170503;	1753702503.000;	         777
20250728;	170506;	1753702506.000;	         777
20250728;	170509;	1753702509.000;	         777
20250728;	170512;	1753702512.000;	         777
20250728;	170515;	1753702515.000;	         777
20250728;	170518;	1753702518.000;	         777
20250728;	170521;	1753702521.000;	         777
20250728;	170524;	1753702524.000;	         777
20250728;	170527;	1753702527.000;	         777
20250728;	170530;	1753702530.000;	         777
20250728;	170533;	1753702533.000;	         777
20250728;	170536;	1753702536.000;	         777
20250728;	170539;	1753702539.000;	         777
20250728;	170542;	1753702542.000;	         777
20250728;	170545;	1753702545.000;	         777
20250728;	170548;	1753702548.000;	         777
20250728;	170551;	1753702551.000;	         777
20250728;	170554;	1753702554.000;	         777
20250728;	170557;	1753702557.000;	         777
20250728;	170600;	1753702560.000;	         777
20250728;	170603;	1753702563.000;	         777
20250728;	170606;	1753702566.000;	         777
20250728;	170609;	1753702569.000;	         777
20250728;	170612;	1753702572.000;	         777
20250728;	170615;	1753702575.000;	         777
20250728;	170618;	1753702578.000;	         777
20250728;	170621;	1753702581.000;	         777
20250728;	170624;	1753702584.000;	         777
20250728;	170627;	1753702587.000;	         777
20250728;	170630;	1753702590.000;	         777
20250728;	170633;	1753702593.000;	         777
20250728;	170636;	1753702596.000;	         777
20250728;	170639;	1753702599.000;	         777
20250728;	170642;	1753702602.000;	         777
20250728;	170645;	1753702605.000;	         777
20250728;	170648;	1753702608.000;	         777
20250728;	170651;	1753702611.000;	         777
20250728;	170654;	1753702614.000;	         777
20250728;	170657;	1753702617.000;	         777
20250728;	170700;	1753702620.000;	         777
20250728;	170703;	1753702623.000;	         777
20250728;	170706;	1753702626.000;	         777
20250728;	170709;	1753702629.000;	         777
20250728;	170712;	1753702632.000;	         777
20250728;	170715;	1753702635.000;	         777
20250728;	170718;	1753702638.000;	         777
20250728;	170721;	1753702641.000;	         777
