#ies_format_version: 1.0
#file: 20250718_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	test1_An_2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	test1_V_3;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#006;	test1_Vln_4;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#007;	test1_T_5;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	test1_An_2;	test1_V_3;	test1_Vln_4;	test1_T_5
20250718;	131648;	1752824808.000;	       err11;	       err11;	       err11;	       err11
20250718;	131651;	1752824811.000;	       err11;	       err11;	       err11;	       err11
20250718;	131654;	1752824814.000;	       err11;	       err11;	       err11;	       err11
20250718;	131657;	1752824817.000;	       err11;	       err11;	       err11;	       err11
20250718;	131700;	1752824820.000;	       err11;	       err11;	       err11;	       err11
20250718;	131703;	1752824823.000;	       err11;	       err11;	       err11;	       err11
20250718;	131706;	1752824826.000;	       err11;	       err11;	       err11;	       err11
20250718;	131709;	1752824829.000;	       err11;	       err11;	       err11;	       err11
20250718;	131712;	1752824832.000;	       err11;	       err11;	       err11;	       err11
20250718;	131715;	1752824835.000;	       err11;	       err11;	       err11;	       err11
20250718;	131718;	1752824838.000;	       err11;	       err11;	       err11;	       err11
20250718;	131721;	1752824841.000;	       err11;	       err11;	       err11;	       err11
20250718;	131724;	1752824844.000;	       err11;	       err11;	       err11;	       err11
20250718;	131727;	1752824847.000;	       err11;	       err11;	       err11;	       err11
20250718;	131730;	1752824850.000;	       err11;	       err11;	       err11;	       err11
20250718;	131733;	1752824853.000;	       err11;	       err11;	       err11;	       err11
20250718;	131736;	1752824856.000;	       err11;	       err11;	       err11;	       err11
20250718;	131739;	1752824859.000;	       err11;	       err11;	       err11;	       err11
20250718;	131742;	1752824862.000;	       err11;	       err11;	       err11;	       err11
20250718;	131745;	1752824865.000;	       err11;	       err11;	       err11;	       err11
20250718;	131748;	1752824868.000;	       err11;	       err11;	       err11;	       err11
20250718;	131751;	1752824871.000;	       err11;	       err11;	       err11;	       err11
20250718;	131754;	1752824874.000;	       err11;	       err11;	       err11;	       err11
20250718;	131757;	1752824877.000;	       err11;	       err11;	       err11;	       err11
20250718;	131800;	1752824880.000;	       err11;	       err11;	       err11;	       err11
20250718;	131803;	1752824883.000;	       err11;	       err11;	       err11;	       err11
20250718;	131806;	1752824886.000;	       err11;	       err11;	       err11;	       err11
20250718;	131809;	1752824889.000;	       err11;	       err11;	       err11;	       err11
20250718;	131812;	1752824892.000;	       err11;	       err11;	       err11;	       err11
20250718;	131815;	1752824895.000;	       err11;	       err11;	       err11;	       err11
20250718;	131818;	1752824898.000;	       err11;	       err11;	       err11;	       err11
20250718;	131821;	1752824901.000;	       err11;	       err11;	       err11;	       err11
20250718;	131824;	1752824904.000;	       err11;	       err11;	       err11;	       err11
20250718;	131827;	1752824907.000;	       err11;	       err11;	       err11;	       err11
20250718;	131830;	1752824910.000;	       err11;	       err11;	       err11;	       err11
20250718;	131833;	1752824913.000;	       err11;	       err11;	       err11;	       err11
20250718;	131836;	1752824916.000;	       err11;	       err11;	       err11;	       err11
20250718;	131839;	1752824919.000;	       err11;	       err11;	       err11;	       err11
20250718;	131842;	1752824922.000;	       err11;	       err11;	       err11;	       err11
20250718;	131845;	1752824925.000;	       err11;	       err11;	       err11;	       err11
20250718;	131848;	1752824928.000;	       err11;	       err11;	       err11;	       err11
20250718;	131851;	1752824931.000;	       err11;	       err11;	       err11;	       err11
20250718;	131854;	1752824934.000;	       err11;	       err11;	       err11;	       err11
20250718;	131857;	1752824937.000;	       err11;	       err11;	       err11;	       err11
20250718;	131900;	1752824940.000;	       err11;	       err11;	       err11;	       err11
20250718;	131903;	1752824943.000;	       err11;	       err11;	       err11;	       err11
20250718;	131906;	1752824946.000;	       err11;	       err11;	       err11;	       err11
20250718;	131909;	1752824949.000;	       err11;	       err11;	       err11;	       err11
20250718;	131912;	1752824952.000;	       err11;	       err11;	       err11;	       err11
20250718;	131915;	1752824955.000;	       err11;	       err11;	       err11;	       err11
20250718;	131918;	1752824958.000;	       err11;	       err11;	       err11;	       err11
20250718;	131921;	1752824961.000;	       err11;	       err11;	       err11;	       err11
20250718;	131924;	1752824964.000;	       err11;	       err11;	       err11;	       err11
20250718;	131927;	1752824967.000;	       err11;	       err11;	       err11;	       err11
20250718;	131930;	1752824970.000;	       err11;	       err11;	       err11;	       err11
20250718;	131933;	1752824973.000;	       err11;	       err11;	       err11;	       err11
20250718;	131936;	1752824976.000;	       err11;	       err11;	       err11;	       err11
20250718;	131939;	1752824979.000;	       err11;	       err11;	       err11;	       err11
20250718;	131942;	1752824982.000;	       err11;	       err11;	       err11;	       err11
20250718;	131945;	1752824985.000;	       err11;	       err11;	       err11;	       err11
20250718;	131948;	1752824988.000;	       err11;	       err11;	       err11;	       err11
20250718;	131951;	1752824991.000;	       err11;	       err11;	       err11;	       err11
20250718;	131954;	1752824994.000;	       err11;	       err11;	       err11;	       err11
20250718;	131957;	1752824997.000;	       err11;	       err11;	       err11;	       err11
20250718;	132000;	1752825000.000;	       err11;	       err11;	       err11;	       err11
20250718;	132003;	1752825003.000;	       err11;	       err11;	       err11;	       err11
20250718;	132006;	1752825006.000;	       err11;	       err11;	       err11;	       err11
20250718;	132009;	1752825009.000;	       err11;	       err11;	       err11;	       err11
20250718;	132012;	1752825012.000;	       err11;	       err11;	       err11;	       err11
20250718;	132015;	1752825015.000;	       err11;	       err11;	       err11;	       err11
20250718;	132018;	1752825018.000;	       err11;	       err11;	       err11;	       err11
20250718;	132021;	1752825021.000;	       err11;	       err11;	       err11;	       err11
20250718;	132024;	1752825024.000;	       err11;	       err11;	       err11;	       err11
20250718;	132027;	1752825027.000;	       err11;	       err11;	       err11;	       err11
20250718;	132030;	1752825030.000;	       err11;	       err11;	       err11;	       err11
20250718;	132033;	1752825033.000;	       err11;	       err11;	       err11;	       err11
20250718;	132036;	1752825036.000;	       err11;	       err11;	       err11;	       err11
20250718;	132039;	1752825039.000;	       err11;	       err11;	       err11;	       err11
20250718;	132042;	1752825042.000;	       err11;	       err11;	       err11;	       err11
20250718;	132045;	1752825045.000;	       err11;	       err11;	       err11;	       err11
20250718;	132048;	1752825048.000;	       err11;	       err11;	       err11;	       err11
20250718;	132051;	1752825051.000;	       err11;	       err11;	       err11;	       err11
20250718;	132054;	1752825054.000;	       err11;	       err11;	       err11;	       err11
20250718;	132057;	1752825057.000;	       err11;	       err11;	       err11;	       err11
20250718;	132100;	1752825060.000;	       err11;	       err11;	       err11;	       err11
20250718;	132103;	1752825063.000;	       err11;	       err11;	       err11;	       err11
20250718;	132106;	1752825066.000;	       err11;	       err11;	       err11;	       err11
20250718;	132109;	1752825069.000;	       err11;	       err11;	       err11;	       err11
20250718;	132112;	1752825072.000;	       err11;	       err11;	       err11;	       err11
20250718;	132115;	1752825075.000;	       err11;	       err11;	       err11;	       err11
20250718;	132118;	1752825078.000;	       err11;	       err11;	       err11;	       err11
20250718;	132121;	1752825081.000;	       err11;	       err11;	       err11;	       err11
20250718;	132124;	1752825084.000;	       err11;	       err11;	       err11;	       err11
20250718;	132127;	1752825087.000;	       err11;	       err11;	       err11;	       err11
20250718;	132130;	1752825090.000;	       err11;	       err11;	       err11;	       err11
20250718;	132133;	1752825093.000;	       err11;	       err11;	       err11;	       err11
20250718;	132136;	1752825096.000;	       err11;	       err11;	       err11;	       err11
20250718;	132139;	1752825099.000;	       err11;	       err11;	       err11;	       err11
20250718;	132142;	1752825102.000;	       err11;	       err11;	       err11;	       err11
20250718;	132145;	1752825105.000;	       err11;	       err11;	       err11;	       err11
20250718;	132148;	1752825108.000;	       err11;	       err11;	       err11;	       err11
20250718;	132151;	1752825111.000;	       err11;	       err11;	       err11;	       err11
20250718;	132154;	1752825114.000;	       err11;	       err11;	       err11;	       err11
20250718;	132157;	1752825117.000;	       err11;	       err11;	       err11;	       err11
20250718;	132200;	1752825120.000;	       err11;	       err11;	       err11;	       err11
20250718;	132203;	1752825123.000;	       err11;	       err11;	       err11;	       err11
20250718;	132206;	1752825126.000;	       err11;	       err11;	       err11;	       err11
20250718;	132209;	1752825129.000;	       err11;	       err11;	       err11;	       err11
20250718;	132212;	1752825132.000;	       err11;	       err11;	       err11;	       err11
20250718;	132215;	1752825135.000;	       err11;	       err11;	       err11;	       err11
20250718;	132218;	1752825138.000;	       err11;	       err11;	       err11;	       err11
20250718;	132221;	1752825141.000;	       err11;	       err11;	       err11;	       err11
20250718;	132224;	1752825144.000;	       err11;	       err11;	       err11;	       err11
20250718;	132227;	1752825147.000;	       err11;	       err11;	       err11;	       err11
20250718;	132230;	1752825150.000;	       err11;	       err11;	       err11;	       err11
20250718;	132233;	1752825153.000;	       err11;	       err11;	       err11;	       err11
20250718;	132236;	1752825156.000;	       err11;	       err11;	       err11;	       err11
20250718;	132239;	1752825159.000;	       err11;	       err11;	       err11;	       err11
20250718;	132242;	1752825162.000;	       err11;	       err11;	       err11;	       err11
20250718;	132245;	1752825165.000;	       err11;	       err11;	       err11;	       err11
20250718;	132248;	1752825168.000;	       err11;	       err11;	       err11;	       err11
20250718;	132251;	1752825171.000;	       err11;	       err11;	       err11;	       err11
20250718;	132254;	1752825174.000;	       err11;	       err11;	       err11;	       err11
20250718;	132257;	1752825177.000;	       err11;	       err11;	       err11;	       err11
20250718;	132300;	1752825180.000;	       err11;	       err11;	       err11;	       err11
20250718;	132303;	1752825183.000;	       err11;	       err11;	       err11;	       err11
20250718;	132306;	1752825186.000;	       err11;	       err11;	       err11;	       err11
20250718;	132309;	1752825189.000;	       err11;	       err11;	       err11;	       err11
20250718;	132312;	1752825192.000;	       err11;	       err11;	       err11;	       err11
20250718;	132315;	1752825195.000;	       err11;	       err11;	       err11;	       err11
20250718;	132318;	1752825198.000;	       err11;	       err11;	       err11;	       err11
20250718;	132321;	1752825201.000;	       err11;	       err11;	       err11;	       err11
20250718;	132324;	1752825204.000;	       err11;	       err11;	       err11;	       err11
20250718;	132327;	1752825207.000;	       err11;	       err11;	       err11;	       err11
20250718;	132330;	1752825210.000;	       err11;	       err11;	       err11;	       err11
20250718;	132333;	1752825213.000;	       err11;	       err11;	       err11;	       err11
20250718;	132336;	1752825216.000;	       err11;	       err11;	       err11;	       err11
20250718;	132339;	1752825219.000;	       err11;	       err11;	       err11;	       err11
20250718;	132342;	1752825222.000;	       err11;	       err11;	       err11;	       err11
20250718;	132345;	1752825225.000;	       err11;	       err11;	       err11;	       err11
20250718;	132348;	1752825228.000;	       err11;	       err11;	       err11;	       err11
20250718;	132351;	1752825231.000;	       err11;	       err11;	       err11;	       err11
20250718;	132354;	1752825234.000;	       err11;	       err11;	       err11;	       err11
20250718;	132357;	1752825237.000;	       err11;	       err11;	       err11;	       err11
20250718;	132400;	1752825240.000;	       err11;	       err11;	       err11;	       err11
20250718;	132403;	1752825243.000;	       err11;	       err11;	       err11;	       err11
20250718;	132406;	1752825246.000;	       err11;	       err11;	       err11;	       err11
20250718;	132409;	1752825249.000;	       err11;	       err11;	       err11;	       err11
20250718;	132412;	1752825252.000;	       err11;	       err11;	       err11;	       err11
20250718;	132415;	1752825255.000;	       err11;	       err11;	       err11;	       err11
20250718;	132418;	1752825258.000;	       err11;	       err11;	       err11;	       err11
20250718;	132421;	1752825261.000;	       err11;	       err11;	       err11;	       err11
20250718;	132424;	1752825264.000;	       err11;	       err11;	       err11;	       err11
20250718;	132427;	1752825267.000;	       err11;	       err11;	       err11;	       err11
20250718;	132430;	1752825270.000;	       err11;	       err11;	       err11;	       err11
20250718;	132433;	1752825273.000;	       err11;	       err11;	       err11;	       err11
20250718;	132436;	1752825276.000;	       err11;	       err11;	       err11;	       err11
20250718;	132439;	1752825279.000;	       err11;	       err11;	       err11;	       err11
20250718;	132442;	1752825282.000;	       err11;	       err11;	       err11;	       err11
20250718;	132445;	1752825285.000;	       err11;	       err11;	       err11;	       err11
20250718;	132448;	1752825288.000;	       err11;	       err11;	       err11;	       err11
20250718;	132451;	1752825291.000;	       err11;	       err11;	       err11;	       err11
20250718;	132454;	1752825294.000;	       err11;	       err11;	       err11;	       err11
20250718;	132457;	1752825297.000;	       err11;	       err11;	       err11;	       err11
20250718;	132500;	1752825300.000;	       err11;	       err11;	       err11;	       err11
20250718;	132503;	1752825303.000;	       err11;	       err11;	       err11;	       err11
20250718;	132506;	1752825306.000;	       err11;	       err11;	       err11;	       err11
20250718;	132509;	1752825309.000;	       err11;	       err11;	       err11;	       err11
20250718;	132512;	1752825312.000;	       err11;	       err11;	       err11;	       err11
